subject,impostor_index,count,rank1_to_not1,not1_to_rank1,rank1_kept,not1_kept,target_indices
7,770,10,0,4,2,4,17;132;203;368;452;562;746;869;872;903
7,788,10,0,1,2,7,78;93;133;255;538;768;825;846;863;990
7,250,9,0,0,4,5,90;121;403;409;472;525;591;601;994
7,984,9,0,1,1,7,68;104;420;568;657;742;796;807;953
7,172,8,0,0,2,6,61;110;157;309;569;617;793;883
7,545,8,0,0,4,4,196;289;389;395;450;554;620;790
7,93,7,0,0,1,6,48;101;209;435;446;841;868
7,302,7,0,0,2,5,67;89;270;290;466;642;671
7,484,7,0,0,1,6,23;69;308;391;445;503;955
7,541,7,0,0,2,5,106;159;227;349;570;740;911
7,717,7,0,1,1,5,26;73;119;247;312;335;598
7,923,7,0,0,3,4,42;109;155;272;400;447;549
7,153,6,0,1,2,3,278;376;552;622;897;939
7,176,6,0,0,3,3,273;370;630;715;866;906
7,180,6,0,0,3,3,237;329;532;611;859;862
7,543,6,0,0,3,3,139;268;448;449;595;699
7,737,6,0,0,1,5,97;178;197;579;724;895
7,777,6,0,0,4,2,72;438;498;839;875;965
7,12,5,0,0,0,5,252;331;463;815;935
7,50,5,0,0,1,4,180;346;541;800;927
7,115,5,0,0,2,3,27;120;211;367;753
7,132,5,0,0,2,3,31;299;425;861;968
7,146,5,0,0,1,4,65;397;418;519;645
7,396,5,0,0,0,5,344;571;836;842;888
7,499,5,0,0,1,4,223;317;531;586;827
7,590,5,0,0,0,5,84;174;419;618;778
7,601,5,0,0,2,3,140;156;799;910;988
7,689,5,0,0,4,1,154;173;355;495;530
7,710,5,0,1,0,4,460;818;879;934;957
7,30,4,0,0,2,2,582;655;674;774
7,39,4,0,0,3,1,54;111;302;821
7,85,4,0,1,2,1,102;217;313;509
7,149,4,0,1,0,3,18;296;589;661
7,162,4,0,0,1,3,257;336;553;845
7,321,4,0,1,1,2,254;459;614;756
7,377,4,0,0,1,3,166;294;602;822
7,461,4,0,0,3,1,13;188;838;877
7,516,4,0,0,2,2,455;493;672;817
7,591,4,0,0,4,0,195;250;413;801
7,630,4,0,0,3,1,324;399;508;694
7,659,4,0,0,3,1,53;348;680;852
7,692,4,0,0,1,3,141;604;976;996
7,778,4,0,0,1,3,5;63;733;858
7,787,4,0,0,1,3,96;318;337;710
7,833,4,0,1,1,2,251;295;732;966
7,963,4,0,0,1,3,216;238;286;874
7,17,3,0,0,3,0,39;124;314
7,82,3,0,1,1,1,596;713;766
7,139,3,0,1,2,0,406;487;643
7,141,3,0,0,2,1,208;266;932
7,196,3,0,0,1,2,112;856;928
7,231,3,0,0,2,1,246;484;812
7,286,3,0,0,2,1,410;592;890
7,308,3,0,0,0,3,432;607;718
7,356,3,0,0,3,0,24;153;577
7,363,3,0,0,1,2,442;666;676
7,368,3,0,0,1,2,576;638;989
7,388,3,0,0,2,1,79;177;533
7,449,3,0,0,2,1,543;628;847
7,490,3,0,0,1,2,30;37;515
7,505,3,0,0,2,1,138;581;677
7,554,3,0,0,1,2,298;488;491
7,644,3,0,0,1,2,396;637;936
7,647,3,0,0,2,1,11;328;795
7,682,3,0,0,1,2,136;808;899
7,721,3,0,2,0,1,86;253;758
7,753,3,0,1,2,0,115;150;900
7,760,3,0,0,1,2,748;901;917
7,802,3,0,0,1,2,224;624;840
7,810,3,0,0,2,1,28;632;652
7,894,3,0,0,1,2,489;779;902
7,921,3,0,0,0,3,1;194;248
7,922,3,0,0,2,1,52;685;983
7,954,3,0,0,2,1,171;698;854
7,982,3,0,1,1,1,265;353;658
7,4,2,0,1,0,1,245;315
7,22,2,0,1,0,1,283;745
7,40,2,0,0,2,0,374;558
7,57,2,0,0,0,2,926;940
7,79,2,0,0,2,0,129;461
7,88,2,0,0,0,2,285;597
7,106,2,0,0,0,2,16;664
7,107,2,0,0,0,2,242;412
7,186,2,0,0,2,0,244;952
7,215,2,0,1,0,1,10;175
7,217,2,0,0,1,1,85;787
7,230,2,0,0,1,1,137;605
7,239,2,0,0,0,2,45;797
7,260,2,0,0,2,0,537;712
7,265,2,0,0,1,1,387;975
7,300,2,0,0,1,1,77;497
7,310,2,0,0,1,1,423;517
7,314,2,0,0,1,1,501;995
7,316,2,0,0,0,2,332;885
7,318,2,0,0,1,1,113;131
7,343,2,0,0,1,1,146;829
7,346,2,0,0,0,2,80;359
7,353,2,0,0,1,1,747;760
7,370,2,0,0,0,2,439;703
7,442,2,0,1,0,1,232;363
7,467,2,0,0,0,2,769;771
7,468,2,0,0,2,0,75;567
7,493,2,0,0,0,2,704;964
7,536,2,0,0,1,1,490;599
7,540,2,0,0,1,1,210;322
7,571,2,0,0,1,1,122;341
7,572,2,0,0,1,1,386;428
7,598,2,0,0,0,2,34;639
7,616,2,0,1,1,0,271;709
7,632,2,0,0,1,1,764;922
7,681,2,0,0,0,2,71;147
7,685,2,0,1,0,1,307;441
7,700,2,0,0,0,2,135;919
7,718,2,0,1,1,0,417;837
7,772,2,0,0,0,2,654;697
7,774,2,0,0,2,0,183;700
7,779,2,0,0,1,1,660;991
7,794,2,0,0,1,1,279;734
7,799,2,0,0,1,1,310;914
7,807,2,0,0,0,2,275;961
7,809,2,0,0,1,1,600;912
7,825,2,0,0,0,2,99;127
7,849,2,0,0,1,1,240;321
7,856,2,0,0,2,0,635;954
7,864,2,0,0,1,1,405;444
7,867,2,0,0,1,1,540;615
7,881,2,0,1,1,0,145;831
7,882,2,0,0,1,1,259;427
7,891,2,0,0,0,2,128;931
7,892,2,0,0,0,2,36;181
7,912,2,0,0,2,0,226;809
7,914,2,0,0,0,2,261;726
7,916,2,0,1,0,1,483;967
7,934,2,0,0,1,1,603;721
7,951,2,0,0,2,0,361;750
7,985,2,0,0,1,1,319;485
7,987,2,0,0,1,1,727;908
7,7,1,0,0,0,1,711
7,15,1,0,0,1,0,430
7,18,1,0,0,1,0,606
7,32,1,0,0,0,1,351
7,36,1,0,0,1,0,528
7,52,1,0,0,1,0,264
7,54,1,0,0,1,0,437
7,55,1,0,0,1,0,381
7,59,1,0,0,1,0,580
7,67,1,0,0,1,0,805
7,70,1,0,0,1,0,221
7,81,1,0,0,1,0,987
7,98,1,0,0,0,1,408
7,100,1,0,0,0,1,340
7,111,1,0,0,0,1,404
7,134,1,0,0,0,1,521
7,143,1,0,0,0,1,233
7,145,1,0,0,0,1,193
7,155,1,0,0,0,1,284
7,156,1,0,0,1,0,986
7,158,1,0,0,0,1,527
7,163,1,0,0,1,0,891
7,167,1,0,0,0,1,56
7,169,1,0,0,0,1,887
7,189,1,0,0,1,0,522
7,191,1,0,0,0,1,130
7,206,1,0,0,1,0,199
7,226,1,0,0,1,0,433
7,228,1,0,0,1,0,693
7,263,1,0,0,0,1,60
7,268,1,0,0,1,0,997
7,270,1,0,0,0,1,621
7,271,1,0,0,1,0,616
7,272,1,0,0,0,1,123
7,297,1,0,0,0,1,871
7,307,1,0,0,1,0,407
7,313,1,0,0,1,0,281
7,322,1,0,0,1,0,636
7,341,1,0,0,1,0,201
7,358,1,0,0,1,0,149
7,361,1,0,0,1,0,263
7,381,1,0,0,1,0,749
7,382,1,0,0,0,1,720
7,384,1,0,0,0,1,794
7,386,1,0,0,1,0,572
7,389,1,0,1,0,0,144
7,390,1,0,0,0,1,375
7,393,1,0,0,0,1,669
7,395,1,0,0,1,0,185
7,399,1,0,0,0,1,311
7,428,1,0,0,0,1,19
7,430,1,0,0,1,0,142
7,437,1,0,0,0,1,730
7,441,1,0,0,0,1,478
7,452,1,0,0,1,0,619
7,453,1,0,0,1,0,200
7,466,1,0,0,0,1,333
7,475,1,0,0,1,0,898
7,479,1,0,0,0,1,971
7,481,1,0,0,1,0,575
7,489,1,0,0,0,1,402
7,517,1,0,0,0,1,229
7,520,1,0,0,0,1,58
7,522,1,0,0,0,1,565
7,523,1,0,0,0,1,962
7,524,1,0,0,0,1,882
7,527,1,0,0,0,1,762
7,531,1,0,0,0,1,913
7,537,1,0,0,1,0,670
7,546,1,0,0,0,1,457
7,549,1,0,0,1,0,857
7,553,1,0,0,0,1,357
7,559,1,0,0,1,0,969
7,577,1,0,0,0,1,456
7,578,1,0,0,0,1,64
7,580,1,0,0,0,1,548
7,584,1,0,0,0,1,650
7,607,1,0,0,1,0,358
7,611,1,0,0,1,0,978
7,626,1,0,0,1,0,249
7,631,1,0,0,1,0,482
7,634,1,0,0,1,0,339
7,641,1,0,0,1,0,535
7,648,1,0,0,0,1,878
7,651,1,0,0,1,0,593
7,660,1,0,0,1,0,429
7,662,1,0,0,1,0,480
7,666,1,0,0,1,0,518
7,668,1,0,0,0,1,366
7,677,1,0,1,0,0,475
7,694,1,0,0,1,0,12
7,697,1,0,0,1,0,4
7,698,1,0,0,0,1,451
7,703,1,0,0,0,1,851
7,704,1,0,0,1,0,82
7,707,1,0,0,0,1,870
7,708,1,0,0,1,0,542
7,712,1,0,0,1,0,804
7,715,1,0,0,1,0,560
7,728,1,0,0,1,0,833
7,740,1,0,0,0,1,458
7,745,1,0,0,1,0,22
7,746,1,0,0,0,1,38
7,748,1,0,0,0,1,723
7,749,1,0,0,1,0,239
7,750,1,0,0,1,0,780
7,751,1,0,0,1,0,59
7,755,1,0,0,1,0,943
7,756,1,0,0,1,0,507
7,759,1,0,0,0,1,398
7,764,1,0,0,1,0,205
7,766,1,0,0,0,1,207
7,767,1,0,0,1,0,288
7,769,1,0,0,1,0,49
7,776,1,0,0,1,0,594
7,791,1,0,0,0,1,751
7,793,1,0,0,1,0,70
7,812,1,0,0,0,1,755
7,818,1,0,0,0,1,66
7,830,1,0,0,0,1,219
7,832,1,0,0,0,1,198
7,840,1,0,0,1,0,345
7,844,1,0,0,0,1,343
7,847,1,0,1,0,0,415
7,850,1,0,0,0,1,342
7,859,1,0,1,0,0,8
7,865,1,0,0,0,1,950
7,871,1,0,0,0,1,297
7,876,1,0,1,0,0,687
7,900,1,0,0,1,0,982
7,903,1,0,0,1,0,735
7,907,1,0,0,0,1,850
7,920,1,0,0,0,1,32
7,931,1,0,0,0,1,462
7,940,1,0,0,0,1,422
7,949,1,0,0,0,1,20
7,983,1,0,0,0,1,979
7,999,1,0,1,0,0,14
