subject,impostor_index,count,rank1_to_not1,not1_to_rank1,rank1_kept,not1_kept,target_indices
7,567,65,4,1,10,50,7;51;116;117;134;184;189;191;267;274;292;301;320;323;326;327;365;373;411;424;431;436;454;469;471
7,886,12,4,1,3,4,214;236;393;502;546;648;702;739;855;893;977;998
7,967,29,2,0,5,22,21;29;100;158;218;220;228;277;287;305;364;416;465;492;529;561;584;587;612;613;678;765;785;806;816
7,208,23,2,2,6,13,33;44;55;91;94;167;169;172;213;352;354;372;379;486;494;506;547;550;679;772;791;864;974
7,990,12,2,0,5,5,151;161;371;380;555;682;689;690;788;814;853;892
7,200,8,2,0,0,6,74;168;234;539;675;754;832;834
7,137,3,2,0,1,0,230;512;662
7,899,2,2,0,0,0,350;972
7,178,24,1,1,8,14,50;88;160;182;260;280;362;388;426;467;631;633;644;691;708;737;777;786;835;848;896;923;951;981
7,327,16,1,0,8,7,40;114;125;385;392;414;440;473;516;573;659;667;744;783;938;993
7,828,16,1,1,6,8,57;206;256;282;300;304;360;510;511;545;564;692;736;860;873;945
7,655,12,1,0,2,9,6;46;95;176;269;369;536;556;563;717;889;944
7,2,11,1,1,3,6,107;148;384;479;626;649;681;731;865;946;992
7,11,11,1,0,3,7,2;3;9;243;262;504;526;684;830;844;905
7,173,10,1,0,5,4,258;377;390;646;647;668;743;763;811;959
7,274,10,1,0,1,8,25;235;383;683;781;789;803;924;929;985
7,947,9,1,1,2,5,293;316;325;443;474;524;653;813;915
7,204,7,1,0,2,4,215;334;378;707;761;884;894
7,372,6,1,1,3,1,303;382;464;513;886;918
7,480,6,1,0,3,2,81;105;520;665;798;819
7,696,6,1,0,4,1,338;728;752;757;925;970
7,118,5,1,0,3,1,163;170;356;583;588
7,23,4,1,2,1,0,118;162;686;933
7,414,3,1,1,0,1,192;610;701
7,761,3,1,0,2,0,43;204;705
7,75,2,1,0,0,1,544;551
7,403,2,1,0,1,0,222;291
7,443,2,1,0,1,0,276;656
7,852,2,1,0,1,0,76;505
7,872,2,1,0,0,1,347;468
7,94,1,1,0,0,0,867
7,249,1,1,0,0,0,108
7,276,1,1,0,0,0,775
7,288,1,1,0,0,0,881
7,359,1,1,0,0,0,719
7,434,1,1,0,0,0,421
7,576,1,1,0,0,0,909
7,588,1,1,0,0,0,103
7,593,1,1,0,0,0,629
7,991,1,1,0,0,0,759
7,282,15,0,0,4,11,15;35;92;165;212;241;330;434;640;725;828;920;980;984;999
7,875,14,0,2,7,5,0;87;98;187;306;394;499;608;627;634;641;770;773;876
7,380,13,0,0,7,6,47;143;186;202;225;231;401;453;496;651;767;826;941
7,827,11,0,1,3,7,83;126;164;190;470;722;738;741;782;784;904
7,28,10,0,0,1,9,41;62;152;179;557;574;590;695;949;960
