subject,impostor_index,count,rank1_to_not1,not1_to_rank1,rank1_kept,not1_kept,target_indices
5,805,3,0,0,1,2,437;812;846
5,847,3,0,1,1,1,415;583;628
5,862,3,0,0,2,1,66;460;848
5,914,3,0,0,0,3,34;261;633
5,947,3,0,0,2,1,570;646;876
5,955,3,0,2,0,1,492;751;960
5,990,3,0,0,0,3,42;380;555
5,15,2,0,0,2,0,430;630
5,79,2,0,0,1,1,188;965
5,86,2,0,0,0,2,754;771
5,90,2,0,0,2,0,495;821
5,100,2,0,0,0,2,434;979
5,139,2,0,0,2,0,232;698
5,160,2,0,0,2,0,129;604
5,178,2,0,0,1,1,422;737
5,187,2,0,0,0,2,562;672
5,207,2,0,0,1,1,72;691
5,225,2,0,0,1,1,29;680
5,243,2,0,0,0,2,151;217
5,249,2,0,0,2,0,108;262
5,276,2,0,0,1,1,158;973
5,297,2,0,0,2,0,208;643
5,301,2,0,0,1,1,134;623
5,339,2,0,0,1,1,62;829
5,365,2,0,0,2,0,522;706
5,367,2,0,1,0,1,115;901
5,400,2,0,0,0,2,36;888
5,413,2,0,0,0,2,533;565
5,419,2,0,0,2,0,348;978
5,421,2,0,0,0,2,112;546
5,434,2,0,0,0,2,100;443
5,442,2,0,0,1,1,25;928
5,447,2,0,1,0,1,56;513
5,487,2,0,0,1,1,548;818
5,499,2,0,0,0,2,988;992
5,501,2,0,0,0,2,345;995
5,516,2,0,0,2,0,131;318
5,520,2,0,0,1,1,65;929
5,543,2,0,0,0,2,659;867
5,554,2,0,0,1,1,82;924
5,559,2,0,0,1,1,473;615
5,582,2,0,0,0,2,37;944
5,606,2,0,0,2,0,679;789
5,636,2,0,0,0,2,342;884
5,655,2,0,0,2,0,717;853
5,682,2,0,0,2,0,70;745
5,686,2,0,0,0,2,40;684
5,695,2,0,0,2,0,79;586
5,701,2,0,0,0,2,114;726
5,719,2,0,0,0,2,192;379
5,728,2,0,0,0,2,742;998
5,735,2,0,0,0,2,685;936
5,745,2,0,0,0,2,283;644
5,754,2,0,0,1,1,387;843
5,761,2,0,1,1,0,43;353
5,812,2,0,0,0,2,478;755
5,818,2,0,0,1,1,89;509
5,830,2,0,0,2,0,46;536
5,843,2,0,0,0,2,748;946
5,859,2,0,0,0,2,311;837
5,886,2,0,0,0,2,126;303
5,951,2,0,0,1,1,282;828
5,967,2,0,0,1,1,20;21
5,968,2,0,0,1,1,425;962
5,976,2,0,1,1,0,463;945
5,987,2,0,0,2,0,167;246
5,997,2,0,0,1,1,467;969
5,999,2,0,0,1,1,491;518
5,4,1,0,0,0,1,631
5,6,1,0,0,1,0,670
5,12,1,0,1,0,0,69
5,16,1,0,0,1,0,507
5,23,1,0,0,0,1,305
5,28,1,0,0,1,0,174
5,29,1,0,1,0,0,31
5,32,1,0,0,0,1,676
5,46,1,0,0,1,0,981
5,49,1,0,0,1,0,162
5,54,1,0,0,1,0,291
5,65,1,0,0,1,0,146
5,73,1,0,0,0,1,219
5,80,1,0,0,1,0,595
5,89,1,0,0,1,0,264
5,96,1,0,0,1,0,384
5,98,1,0,0,0,1,898
5,107,1,0,0,1,0,760
5,108,1,0,1,0,0,336
5,109,1,0,0,1,0,914
5,119,1,0,0,0,1,896
5,128,1,0,0,0,1,597
5,132,1,0,0,0,1,861
5,147,1,0,0,1,0,809
5,148,1,0,0,0,1,381
5,149,1,0,0,1,0,815
5,153,1,0,0,1,0,356
5,161,1,0,0,1,0,801
5,166,1,0,0,1,0,682
5,183,1,0,0,0,1,774
5,190,1,0,0,0,1,448
5,202,1,0,0,0,1,206
5,203,1,0,0,1,0,770
5,213,1,0,0,1,0,470
5,215,1,0,0,1,0,175
5,216,1,0,0,1,0,729
5,221,1,0,0,1,0,793
5,223,1,0,0,1,0,993
5,231,1,0,0,1,0,712
5,241,1,0,0,0,1,544
5,252,1,0,1,0,0,64
5,256,1,0,0,1,0,773
5,270,1,0,0,1,0,897
5,279,1,0,0,1,0,243
