subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median
5,cycle40_subj05_prior0_1sess_150ep,474,36067,0.0366078,0.03899935,941,-0.0023915507,3.0,0.5454545454545454,1.5454545454545454,1.0
5,cycle40_subj05_prior0_1sess_150ep,475,36258,0.044429988,0.047573537,674,-0.003143549,3.0,0.4,1.9,2.0
5,cycle40_subj05_prior0_1sess_150ep,476,36476,0.024327349,0.04394532,567,-0.019617971,72.0,0.0,20.083333333333332,19.5
5,cycle40_subj05_prior0_1sess_150ep,477,36569,0.05104662,0.05085635,316,0.0001902692,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,478,36576,0.018685764,0.03626913,812,-0.017583365,33.0,0.0,12.2,12.5
5,cycle40_subj05_prior0_1sess_150ep,479,36623,0.050934177,0.04678918,426,0.0041449964,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,480,36629,0.038057264,0.030244984,191,0.00781228,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,481,36682,0.048025325,0.043051634,541,0.004973691,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,482,36731,0.04231617,0.04456393,541,-0.002247762,2.0,0.8333333333333334,1.1666666666666667,1.0
5,cycle40_subj05_prior0_1sess_150ep,483,36759,0.047512956,0.047797132,636,-0.00028417632,2.0,0.7272727272727273,1.2727272727272727,1.0
5,cycle40_subj05_prior0_1sess_150ep,484,36910,0.052549377,0.048116054,250,0.0044333227,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,485,36945,0.05330345,0.039143562,674,0.014159888,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,486,36974,0.054234218,0.039256822,544,0.014977396,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,487,36978,0.0376989,0.0449212,322,-0.0072223023,6.0,0.09090909090909091,2.4545454545454546,2.0
5,cycle40_subj05_prior0_1sess_150ep,488,37059,0.04157985,0.045153882,216,-0.0035740323,3.0,0.5,1.5,1.5
5,cycle40_subj05_prior0_1sess_150ep,489,37221,0.039407276,0.045172982,414,-0.0057657063,6.0,0.25,2.375,2.0
5,cycle40_subj05_prior0_1sess_150ep,490,37224,0.037969787,0.037135728,125,0.00083405897,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,491,37436,0.03890763,0.048614856,999,-0.009707227,2.0,0.875,1.125,1.0
5,cycle40_subj05_prior0_1sess_150ep,492,37494,0.028882397,0.037513673,316,-0.008631276,8.0,0.2,3.0,3.0
5,cycle40_subj05_prior0_1sess_150ep,493,37608,0.07108198,0.051750164,64,0.019331817,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,494,37736,0.02684401,0.0473653,48,-0.02052129,60.0,0.0,19.8,19.5
5,cycle40_subj05_prior0_1sess_150ep,495,37801,0.052398287,0.04288605,625,0.009512238,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,496,37927,0.033898193,0.036070764,590,-0.0021725707,2.0,0.5454545454545454,1.4545454545454546,1.0
5,cycle40_subj05_prior0_1sess_150ep,497,38022,0.041417606,0.044795092,250,-0.003377486,2.0,0.2,1.8,2.0
5,cycle40_subj05_prior0_1sess_150ep,498,38025,0.032715876,0.05400166,777,-0.021285783,30.0,0.0,10.1,9.5
5,cycle40_subj05_prior0_1sess_150ep,499,38060,0.05214036,0.04733954,250,0.004800819,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,500,38246,0.05082018,0.04679351,680,0.00402667,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,501,38278,0.04997069,0.039776567,903,0.010194123,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,502,38297,0.035298992,0.043601546,403,-0.0083025545,13.0,0.0,4.636363636363637,5.0
5,cycle40_subj05_prior0_1sess_150ep,503,38310,0.04172169,0.039892554,652,0.0018291362,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,504,38358,0.062377606,0.05461604,714,0.007761564,1.0,1.0,1.0,1.0
5,cycle40_subj05_prior0_1sess_150ep,505,38483,0.029334437,0.040958766,227,-0.011624329,32.0,0.0,9.166666666666666,9.0
