subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1
5,cycle44_subj05_margin_low_1sess_150ep,0,2950,0.0398935,0.04962663,195,-0.009733129,4.0,0.3333333333333333,1.6666666666666667,2.0,-0.001073435,0.0006537996,-0.0017272346,2.0,-0.6666666666666667,0,0
5,cycle44_subj05_margin_low_1sess_150ep,1,2990,0.048317324,0.052970406,876,-0.0046530813,5.0,0.15384615384615385,2.1538461538461537,2.0,0.0012958981,-0.000773862,0.00206976,3.0,-0.6153846153846154,0,0
5,cycle44_subj05_margin_low_1sess_150ep,2,3049,0.056838177,0.05599349,11,0.0008446872,1.0,1.0,1.0,1.0,0.007482372,0.0039695464,0.0035128258,-3.0,0.8333333333333334,0,1
5,cycle44_subj05_margin_low_1sess_150ep,3,3077,0.03785205,0.04675746,493,-0.008905411,11.0,0.0,3.888888888888889,4.0,0.010150444,0.0049270876,0.005223356,-8.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,4,3146,0.041870676,0.04222407,828,-0.0003533922,3.0,0.26666666666666666,1.8666666666666667,2.0,0.009503897,0.0019348934,0.007569004,-6.0,0.26666666666666666,0,0
5,cycle44_subj05_margin_low_1sess_150ep,5,3157,0.051637195,0.052497655,778,-0.0008604601,2.0,0.6666666666666666,1.3333333333333333,1.0,0.004468996,0.0016482286,0.0028207675,0.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,6,3164,0.02663929,0.04144814,906,-0.0148088485,89.0,0.0,28.125,29.5,-0.00027113594,-0.003564421,0.0032932851,-3.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,7,3171,0.026052544,0.04730846,162,-0.021255916,72.0,0.0,20.75,20.5,0.007655643,0.0026784427,0.0049772,-81.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,8,3181,0.059288163,0.05413779,674,0.005150374,1.0,1.0,1.0,1.0,-0.0012658574,0.001811754,-0.0030776113,0.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,9,3386,0.031914134,0.05170024,331,-0.019786105,50.0,0.0,14.4,15.0,0.0027075857,0.0081240535,-0.005416468,7.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,10,3434,0.04749465,0.053310316,175,-0.005815666,3.0,0.5,1.5,1.5,0.00059749186,0.00046138838,0.00013610348,0.0,-0.08333333333333337,0,0
5,cycle44_subj05_margin_low_1sess_150ep,11,3449,0.061644487,0.04758534,426,0.014059149,1.0,1.0,1.0,1.0,0.002555564,0.0073904768,-0.0048349127,0.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,12,3489,0.049069766,0.050977606,652,-0.0019078404,2.0,0.8,1.2,1.0,0.012016885,0.0039761364,0.008040749,-5.0,0.4,0,0
5,cycle44_subj05_margin_low_1sess_150ep,13,3626,0.040193874,0.050234452,316,-0.0100405775,7.0,0.07692307692307693,2.8461538461538463,3.0,-0.0027280971,0.0020721816,-0.0048002787,3.0,-0.23076923076923078,0,0
5,cycle44_subj05_margin_low_1sess_150ep,14,3682,0.042816985,0.047958802,996,-0.005141817,5.0,0.1,2.4,2.0,0.0014754906,0.0036642402,-0.0021887496,3.0,-0.7000000000000001,0,0
5,cycle44_subj05_margin_low_1sess_150ep,15,3687,0.045883402,0.05276433,828,-0.006880928,3.0,0.3333333333333333,1.8333333333333333,2.0,-0.003797762,0.0039729774,-0.0077707395,2.0,-0.6666666666666667,1,0
5,cycle44_subj05_margin_low_1sess_150ep,16,3729,0.04423692,0.04441348,777,-0.00017656013,2.0,0.5,1.5,1.5,-0.0019530989,-0.0043831393,0.0024300404,0.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,17,3809,0.02703663,0.042955857,903,-0.015919227,25.0,0.0,7.375,7.5,0.001115378,0.0047089905,-0.0035936125,8.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,18,3842,0.036319904,0.050715785,493,-0.014395881,15.0,0.0,5.625,5.5,0.0042039566,0.0058224425,-0.0016184859,4.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,19,3847,0.05197128,0.054004014,614,-0.0020327345,2.0,0.3333333333333333,1.6666666666666667,2.0,0.00041357055,-0.001151938,0.0015655085,0.0,0.0,0,0
5,cycle44_subj05_margin_low_1sess_150ep,20,3856,0.036445875,0.04482573,967,-0.008379854,5.0,0.42857142857142855,1.7142857142857142,2.0,-0.0009255484,0.0012348108,-0.0021603592,-1.0,0.14285714285714285,0,0
