subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median
7,cycle44_subj07_margin_low_1sess_150ep,0,2950,0.027308373,0.04260366,875,-0.015295288,78.0,0.0,23.833333333333332,23.5
7,cycle44_subj07_margin_low_1sess_150ep,1,2990,0.024801264,0.043427456,921,-0.018626193,128.0,0.0,39.38461538461539,39.0
7,cycle44_subj07_margin_low_1sess_150ep,2,3049,0.052057117,0.05430025,11,-0.0022431314,2.0,0.8333333333333334,1.1666666666666667,1.0
7,cycle44_subj07_margin_low_1sess_150ep,3,3077,0.056821413,0.05015771,11,0.0066637024,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,4,3146,0.053314634,0.04607327,697,0.0072413646,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,5,3157,0.050834697,0.055637985,778,-0.0048032887,4.0,0.5555555555555556,1.7777777777777777,1.0
7,cycle44_subj07_margin_low_1sess_150ep,6,3164,0.044615127,0.057661556,655,-0.013046429,5.0,0.5,1.875,1.5
7,cycle44_subj07_margin_low_1sess_150ep,7,3171,0.045919277,0.05707575,567,-0.011156473,11.0,0.0,3.125,3.0
7,cycle44_subj07_margin_low_1sess_150ep,8,3181,0.05183128,0.04703415,859,0.004797127,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,9,3386,0.05650473,0.05978185,11,-0.0032771192,3.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,10,3434,0.045883,0.05198262,215,-0.006099619,5.0,0.25,2.0833333333333335,2.0
7,cycle44_subj07_margin_low_1sess_150ep,11,3449,0.06273952,0.059506655,647,0.0032328665,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,12,3489,0.059839316,0.054201204,694,0.0056381114,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,13,3626,0.053643405,0.049547806,461,0.004095599,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,14,3682,0.04534476,0.04162779,999,0.003716968,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,15,3687,0.046542566,0.054761283,282,-0.008218717,5.0,0.16666666666666666,2.1666666666666665,2.0
7,cycle44_subj07_margin_low_1sess_150ep,16,3729,0.037907187,0.05256216,106,-0.014654972,64.0,0.0,20.25,20.5
7,cycle44_subj07_margin_low_1sess_150ep,17,3809,0.042293273,0.046620514,770,-0.0043272413,12.0,0.0,4.125,5.0
7,cycle44_subj07_margin_low_1sess_150ep,18,3842,0.05535491,0.051242642,149,0.0041122697,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,19,3847,0.03233899,0.046961248,428,-0.014622256,20.0,0.0,6.333333333333333,6.0
7,cycle44_subj07_margin_low_1sess_150ep,20,3856,0.028801417,0.053908877,949,-0.02510746,118.0,0.0,38.714285714285715,40.0
7,cycle44_subj07_margin_low_1sess_150ep,21,3913,0.054890618,0.05235361,967,0.0025370084,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,22,3951,0.052677136,0.04873301,745,0.003944125,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,23,4051,0.0465349,0.055412553,484,-0.008877654,5.0,0.25,2.3333333333333335,2.5
7,cycle44_subj07_margin_low_1sess_150ep,24,4058,0.05608799,0.04674806,356,0.009339929,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,25,4129,0.03329549,0.05447394,274,-0.02117845,117.0,0.0,35.916666666666664,36.0
7,cycle44_subj07_margin_low_1sess_150ep,26,4156,0.03651635,0.0536412,717,-0.01712485,99.0,0.0,29.9,29.0
7,cycle44_subj07_margin_low_1sess_150ep,27,4249,0.061441142,0.04591573,115,0.015525412,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,28,4325,0.059904784,0.051019788,810,0.008884996,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,29,4423,0.043724272,0.05904397,967,-0.015319698,8.0,0.0,3.4,3.0
7,cycle44_subj07_margin_low_1sess_150ep,30,4436,0.05173747,0.045720402,490,0.0060170665,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,31,4612,0.05064403,0.04326181,132,0.007382218,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,32,4667,0.02986288,0.042939994,920,-0.013077114,18.0,0.0,5.923076923076923,5.0
7,cycle44_subj07_margin_low_1sess_150ep,33,4690,0.043418974,0.047975678,208,-0.0045567043,4.0,0.18181818181818182,2.272727272727273,2.0
7,cycle44_subj07_margin_low_1sess_150ep,34,4768,0.043422226,0.05100913,598,-0.007586904,14.0,0.0,5.555555555555555,5.0
7,cycle44_subj07_margin_low_1sess_150ep,35,4786,0.04981566,0.044517454,282,0.0052982047,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,36,4835,0.046956025,0.052770954,892,-0.0058149286,5.0,0.4166666666666667,1.9166666666666667,2.0
7,cycle44_subj07_margin_low_1sess_150ep,37,4869,0.049034756,0.055209704,490,-0.006174948,4.0,0.0,2.111111111111111,2.0
7,cycle44_subj07_margin_low_1sess_150ep,38,4892,0.051988255,0.05322395,746,-0.0012356937,3.0,0.5,1.75,1.5
7,cycle44_subj07_margin_low_1sess_150ep,39,4930,0.06927918,0.049364273,17,0.019914906,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,40,5034,0.058969676,0.048411906,327,0.010557771,1.0,1.0,1.0,1.0
7,cycle44_subj07_margin_low_1sess_150ep,41,5106,0.040264234,0.05185537,28,-0.011591136,13.0,0.0,5.5,6.0
7,cycle44_subj07_margin_low_1sess_150ep,42,5204,0.03842241,0.05929154,923,-0.020869132,85.0,0.0,26.285714285714285,27.0
7,cycle44_subj07_margin_low_1sess_150ep,43,5285,0.051499054,0.05238883,761,-0.0008897744,2.0,0.8333333333333334,1.1666666666666667,1.0
7,cycle44_subj07_margin_low_1sess_150ep,44,5301,0.05961157,0.04778011,208,0.011831459,1.0,1.0,1.0,1.0
