subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0,prior0_final_fullpool_rank,prior_low_final_fullpool_rank,final_fullpool_rank_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_similarity,prior_low_final_fullpool_positive_similarity,final_fullpool_positive_similarity_delta_prior_low_minus_prior0,prior0_final_fullpool_mean_impostor_similarity,prior_low_final_fullpool_mean_impostor_similarity,final_fullpool_mean_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_fullpool_hardest_impostor_similarity,prior_low_final_fullpool_hardest_impostor_similarity,final_fullpool_hardest_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_minus_mean_impostor,prior_low_final_fullpool_positive_minus_mean_impostor,final_fullpool_positive_minus_mean_impostor_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_minus_hardest_impostor,prior_low_final_fullpool_positive_minus_hardest_impostor,final_fullpool_positive_minus_hardest_impostor_delta_prior_low_minus_prior0,prior0_final_fullpool_positive_minus_top5_impostor,prior_low_final_fullpool_positive_minus_top5_impostor,final_fullpool_positive_minus_top5_impostor_delta_prior_low_minus_prior0,prior0_final_fullpool_top1_success,prior_low_final_fullpool_top1_success,final_fullpool_top1_success_delta_prior_low_minus_prior0,prior0_final_sampled300_appearances,prior_low_final_sampled300_appearances,final_sampled300_appearances_delta_prior_low_minus_prior0,prior0_final_sampled300_success_count,prior_low_final_sampled300_success_count,final_sampled300_success_count_delta_prior_low_minus_prior0,prior0_final_sampled300_success_rate,prior_low_final_sampled300_success_rate,final_sampled300_success_rate_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_rank_mean,prior_low_final_sampled300_sampled_rank_mean,final_sampled300_sampled_rank_mean_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_positive_similarity,prior_low_final_sampled300_sampled_positive_similarity,final_sampled300_sampled_positive_similarity_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_mean_impostor_similarity,prior_low_final_sampled300_sampled_mean_impostor_similarity,final_sampled300_sampled_mean_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_hardest_impostor_similarity,prior_low_final_sampled300_sampled_hardest_impostor_similarity,final_sampled300_sampled_hardest_impostor_similarity_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_positive_minus_mean_impostor,prior_low_final_sampled300_sampled_positive_minus_mean_impostor,final_sampled300_sampled_positive_minus_mean_impostor_delta_prior_low_minus_prior0,prior0_final_sampled300_sampled_positive_minus_hardest_impostor,prior_low_final_sampled300_sampled_positive_minus_hardest_impostor,final_sampled300_sampled_positive_minus_hardest_impostor_delta_prior_low_minus_prior0,final_feature_norm_delta_prior_low_minus_prior0,final_brainret_success_rate_delta_prior_low_minus_prior0
7,905,65821,4.0,33.0,29.0,1.0,1.0,0.0,0.021546226,0.021546226,-24.332031,-0.17642975,-0.003225334,-0.0055954196,-0.008073043,-0.010237768,-0.06482867,-0.23641066,-0.17158198,0.009366538,0.32205212,0.31268558,-0.0050834287,0.31303826,0.3181217,-0.018045846,0.29977098,0.31781682,4.0,33.0,29.0,0.056519408,0.078065634,0.021546226,0.021128386,0.049558032,0.028429646,0.06855245,0.095694095,0.027141646,0.03539102,0.028507601,-0.00688342,-0.012033042,-0.017628461,-0.0055954196,-0.0013017654,-0.011539534,-0.010237768,0.0,0.0,0.0,7,7,0,2,0,-2,0.2857142857142857,0.0,-0.2857142857142857,2.142857142857143,9.0,6.857142857142858,0.05651940777897835,0.07806563377380371,0.021546225994825363,0.020892375015786717,0.049607127372707636,0.02871475235692092,0.05729350766965321,0.08972586904253278,0.032432361372879574,0.03562703249709947,0.02845850640109607,-0.007168526096003398,-0.0007740998906748635,-0.011660235268729073,-0.01088613537805421,-24.332031,-0.2857142857142857
7,906,65872,2.0,134.0,132.0,1.0,1.0,0.0,0.015352465,0.015352465,-18.218292,-0.38463974,-0.0036195777,-0.022214245,-0.005114183,-0.021911167,0.28977558,0.31211334,0.022337765,0.20123103,0.25743163,0.056200594,0.19958596,0.25993702,0.06035106,0.23196976,0.28998545,0.05801569,2.0,134.0,132.0,0.047472708,0.06282517,0.015352465,0.01209612,0.045726303,0.033630185,0.052094247,0.08966096,0.03756671,0.035376586,0.01709887,-0.018277716,-0.0046215393,-0.026835784,-0.022214245,-6.509572e-05,-0.021976262,-0.021911167,0.0,0.0,0.0,8,8,0,6,0,-6,0.75,0.0,-0.75,1.25,41.75,40.5,0.04747270792722702,0.06282517313957214,0.015352465212345123,0.012202442972920835,0.04578440682962537,0.03358196385670453,0.04782295739278197,0.08429132215678692,0.036468364764004946,0.03527026483789086,0.017040766309946775,-0.018229498527944088,-0.0003502494655549526,-0.021466149017214775,-0.021115899551659822,-18.218292,-0.75
7,907,65920,7.0,17.0,10.0,7.0,1.0,-6.0,0.030745972,0.030745972,-14.82608,0.34353638,0.0071384422,-0.0077172816,0.0065627545,-0.0049027577,-0.06271778,-0.13546081,-0.07274303,0.18246758,0.11452054,-0.06794704,0.24248593,0.1725423,-0.06994362,0.23032862,0.15648814,-0.073840484,7.0,17.0,10.0,0.04801363,0.0787596,0.030745972,0.012451484,0.04745591,0.035004426,0.054155264,0.09261852,0.038463254,0.035562146,0.031303693,-0.004258454,-0.006141633,-0.013858914,-0.0077172816,-0.004755594,-0.009658352,-0.0049027577,0.0,0.0,0.0,8,8,0,0,1,1,0.0,0.125,0.125,2.875,5.375,2.5,0.048013631254434586,0.07875960320234299,0.0307459719479084,0.012565535493195057,0.04781234357506037,0.03524680808186531,0.05352173466235399,0.08582199178636074,0.03230025712400675,0.03544809529557824,0.03094725962728262,-0.004500835668295622,-0.005508103407919407,-0.007062388584017754,-0.0015542851760983467,-14.82608,0.125
7,908,65943,29.0,291.0,262.0,31.0,11.0,-20.0,0.020505663,0.020505663,-29.450226,-0.43166733,0.0066145137,-0.025195375,0.0061231516,-0.020931564,0.38728046,0.36126843,-0.026012033,0.25977564,0.2155294,-0.04424624,0.28262037,0.24543104,-0.037189335,0.32055104,0.27971444,-0.040836602,29.0,291.0,262.0,0.035650633,0.056156296,0.020505663,0.013690076,0.047992576,0.0343025,0.050415535,0.09611657,0.045701038,0.021960557,0.00816372,-0.013796836,-0.014764901,-0.039960276,-0.025195375,-0.012692649,-0.033624213,-0.020931564,0.0,0.0,0.0,6,6,0,0,0,0,0.0,0.0,0.0,9.666666666666666,88.5,78.83333333333333,0.03565063327550888,0.05615629628300667,0.020505663007497787,0.01373456030463179,0.04807973342637221,0.034345173121740416,0.049505834778149925,0.08783086265126865,0.03832502787311872,0.02191607312609752,0.008076562856634458,-0.01383951026946306,-0.013855201502641043,-0.03167456636826197,-0.017819364865620926,-29.450226,0.0
7,909,66004,1.0,190.0,189.0,1.0,1.0,0.0,0.0046227574,0.0046227574,-17.290558,-0.106407166,-0.008517586,-0.035090823,-0.010629326,-0.033330295,0.08753138,0.086691454,-0.0008399263,0.16377388,0.1804511,0.016677216,0.16027403,0.15842894,-0.0018450916,0.16443537,0.15741041,-0.0070249587,1.0,190.0,189.0,0.058012575,0.06263533,0.0046227574,0.01604462,0.048517767,0.032473147,0.057132844,0.096846424,0.03971358,0.041967954,0.014117565,-0.02785039,0.00087973103,-0.03421109,-0.035090823,0.0052677207,-0.028062575,-0.033330295,1.0,0.0,-1.0,7,7,0,7,0,-7,1.0,0.0,-1.0,1.0,59.857142857142854,58.857142857142854,0.058012574911117554,0.06263533234596252,0.004622757434844971,0.01641086595399039,0.04895332349198205,0.03254245753799166,0.05366050771304539,0.0915457233786583,0.037885215665612905,0.04160170789275851,0.013682008853980474,-0.027919699038778036,0.004352067198072161,-0.02891039103269577,-0.033262458230767934,-17.290558,-1.0
7,910,66214,8.0,405.0,397.0,2.0,8.0,6.0,0.008938119,0.008938119,-22.688843,-0.4055786,-0.0014229752,-0.030526068,-0.004668992,-0.031123377,-0.10097624,-0.05352169,0.047454555,-0.07380029,-0.090887874,-0.017087586,-0.07978688,-0.09184648,-0.012059599,-0.083872385,-0.091074444,-0.007202059,8.0,405.0,397.0,0.04379083,0.052728947,0.008938119,0.017108139,0.049247403,0.032139264,0.05049305,0.08995724,0.039464187,0.02668269,0.0034815446,-0.023201145,-0.006702222,-0.03722829,-0.030526068,-0.0033221655,-0.034445543,-0.031123377,0.0,0.0,0.0,9,9,0,2,0,-2,0.2222222222222222,0.0,-0.2222222222222222,2.888888888888889,124.33333333333333,121.44444444444444,0.04379082843661308,0.05272894725203514,0.008938118815422058,0.016984777318106756,0.049464837544494204,0.03248006022638745,0.046040578848785825,0.08649493919478522,0.0404543603459994,0.026806051118506327,0.003264109707540936,-0.02354194141096539,-0.0022497504121727413,-0.03376599194275008,-0.03151624153057734,-22.688843,-0.2222222222222222
7,911,66216,5.0,66.0,61.0,1.0,2.0,1.0,0.023880724,0.023880724,-18.136871,-0.03678894,-0.0018816888,-0.01265477,-0.0034766868,-0.015211821,0.12353263,0.2530625,0.12952986,0.27931663,0.32692125,0.04760462,0.30217943,0.34587,0.043690562,0.31888312,0.3892559,0.07037279,5.0,66.0,61.0,0.049102496,0.07298322,0.023880724,0.018949468,0.048217796,0.029268328,0.06391866,0.10045415,0.036535494,0.030153029,0.024765424,-0.0053876042,-0.014816161,-0.027470931,-0.01265477,-0.0039425865,-0.019154407,-0.015211821,0.0,0.0,0.0,8,8,0,2,0,-2,0.25,0.0,-0.25,2.0,21.875,19.875,0.04910249635577202,0.07298322021961212,0.023880723863840103,0.01930028572678566,0.048736789263784885,0.029436503536999226,0.051553248427808285,0.09216990321874619,0.0406166547909379,0.02980221062898636,0.024246430955827236,-0.0055557796731591225,-0.0024507520720362663,-0.019186682999134064,-0.016735930927097797,-18.136871,-0.25
7,912,66278,1.0,56.0,55.0,1.0,1.0,0.0,-0.009975359,-0.009975359,-107.60376,-4.2599087,-0.0073203593,-0.034799986,-0.009510003,-0.046190917,0.49622467,0.42755464,-0.068670034,0.47667757,0.14743474,-0.32924283,0.4735939,0.16747452,-0.30611938,0.50165987,0.2318781,-0.26978177,1.0,56.0,55.0,0.07156747,0.06159211,-0.009975359,0.0046776887,0.041133307,0.036455616,0.05854109,0.083365716,0.024824627,0.06688978,0.020458803,-0.046430975,0.013026379,-0.021773607,-0.034799986,0.026861452,-0.019329466,-0.046190917,1.0,0.0,-1.0,9,9,0,9,0,-9,1.0,0.0,-1.0,1.0,18.77777777777778,17.77777777777778,0.07156746834516525,0.06159210950136185,-0.009975358843803406,0.00493604876101017,0.041496891528367996,0.036560842767357826,0.04298030295305782,0.08025494466225307,0.03727464170919525,0.06663141813543108,0.02009521797299385,-0.04653620016243723,0.028587165392107435,-0.018662835160891216,-0.04725000055299865,-107.60376,-1.0
7,913,66330,6.0,741.0,735.0,1.0,1.0,0.0,-0.0024877153,-0.0024877153,-47.946106,-1.7145519,-0.003796339,-0.043994896,-0.0019949377,-0.0406763,0.22905932,0.17300226,-0.056057066,-0.26492733,0.2599917,0.52491903,-0.23071268,0.2904601,0.52117276,-0.111491054,0.2908252,0.40231624,6.0,741.0,735.0,0.04058933,0.038101614,-0.0024877153,0.014432674,0.04612328,0.031690605,0.04309651,0.08460369,0.04150718,0.026156655,-0.008021668,-0.034178324,-0.00250718,-0.046502076,-0.043994896,-0.0014259927,-0.042102292,-0.0406763,0.0,0.0,0.0,6,6,0,1,0,-1,0.16666666666666666,0.0,-0.16666666666666666,2.8333333333333335,223.0,220.16666666666666,0.04058932885527611,0.03810161352157593,-0.00248771533370018,0.0143006662838161,0.04644415341317654,0.03214348712936044,0.0422531341512998,0.08176443725824356,0.039511303106943764,0.02628866241623958,-0.008342539891600609,-0.034631202307840184,-0.0016638052960236867,-0.04366282373666763,-0.041999018440643944,-47.946106,-0.16666666666666666
7,914,66342,1.0,70.0,69.0,1.0,4.0,3.0,0.019871466,0.019871466,-15.048279,0.23423195,-0.004997533,-0.024795216,-0.0029269382,-0.02127359,0.32975873,0.39921764,0.0694589,0.18077934,0.142696,-0.038083345,0.18914132,0.14586544,-0.043275878,0.21746264,0.18925177,-0.028210878,1.0,70.0,69.0,0.050119616,0.06999108,0.019871466,0.015374994,0.046605375,0.03123038,0.04929902,0.0939657,0.04466668,0.03474462,0.023385707,-0.011358913,0.0008205958,-0.02397462,-0.024795216,0.003253214,-0.018020377,-0.02127359,1.0,0.0,-1.0,9,9,0,9,0,-9,1.0,0.0,-1.0,1.0,24.11111111111111,23.11111111111111,0.05011961609125137,0.0699910819530487,0.019871465861797333,0.015479144329826037,0.04718386381864548,0.03170471948881944,0.04821107329593764,0.08958745747804642,0.041376384182108775,0.034640471968385905,0.02280721813440323,-0.011833253833982676,0.0019085427953137292,-0.01959637552499771,-0.021504918320311442,-15.048279,-1.0
