subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0
7,557,42166,19.0,358.0,339.0,2.0,2.0,0.0,0.010544021,0.010544021,-58.198242,-2.1198502,0.0011251494,-0.02999688,-0.0032610819,-0.02818032,0.5049702,0.55098414,0.04601395,-0.037682585,0.3534757,0.39115828,-0.04569029,0.3611446,0.4068349,0.011285123,0.41607964,0.4047945
7,558,42171,1.0,79.0,78.0,1.0,1.0,0.0,0.0030814484,0.0030814484,-60.04596,-2.280775,0.0026898496,-0.04312005,-0.0006143525,-0.040966157,0.5754427,0.587193,0.01175034,0.3566286,0.49053034,0.13390175,0.3560029,0.4841001,0.1280972,0.43024313,0.5271952,0.09695208
7,559,42214,1.0,358.0,357.0,1.0,1.0,0.0,-0.015555378,-0.015555378,-51.326263,-1.7586365,-0.0076654404,-0.051455256,-0.0088350065,-0.051187232,0.29663005,0.23516952,-0.06146054,0.15987632,0.07916642,-0.0807099,0.19073962,0.05892323,-0.13181639,0.23195432,0.08670893,-0.14524539
7,560,42224,1.0,167.0,166.0,1.0,1.0,0.0,0.009481065,0.009481065,-36.16147,-0.8726349,0.0013556443,-0.04182217,-0.0036364347,-0.036951154,0.39341024,0.454754,0.06134376,0.04439015,0.24320024,0.1988101,0.03806077,0.24432354,0.20626277,0.0815873,0.29611397,0.21452667
7,561,42238,48.0,639.0,591.0,3.0,13.0,10.0,0.0063977838,0.0063977838,0.62286377,0.868309,-0.0005608089,-0.030047715,-0.0026013255,-0.029190686,0.28460035,0.1566728,-0.12792754,-0.2080021,-0.2954578,-0.087455705,-0.25765175,-0.30224428,-0.04459253,-0.18959181,-0.2681372,-0.07854538
7,562,42299,9.0,267.0,258.0,6.0,44.0,38.0,0.013220165,0.013220165,11.343628,1.4547997,0.0022148453,-0.03113072,-0.0006333329,-0.024564866,0.058746748,0.033378553,-0.025368195,-0.13014834,-0.08218585,0.047962487,-0.12170454,-0.07039746,0.051307082,-0.108960904,-0.0652913,0.043669604
7,563,42473,84.0,203.0,119.0,9.0,28.0,19.0,0.028053947,0.028053947,-16.52768,-0.098911285,0.001351364,-0.012820922,0.00043947622,-0.011589177,0.37345564,0.42830235,0.054846704,0.32356575,0.39649254,0.07292679,0.3153368,0.4049409,0.08960411,0.33870247,0.4253274,0.08662492
7,564,42563,3.0,63.0,60.0,1.0,1.0,0.0,0.01930885,0.01930885,-70.566376,-2.2918568,-0.0032418445,-0.021432418,-0.0029721186,-0.02086965,0.17047036,0.18087262,0.010402262,0.29117155,0.25517583,-0.03599572,0.29832923,0.2621182,-0.036211044,0.29019907,0.2631762,-0.027022868
7,565,42642,162.0,203.0,41.0,133.0,188.0,55.0,0.0325598,0.0325598,-3.0097656,0.6218777,0.012015767,-0.011101063,0.009286862,-0.009580709,0.30304068,0.28959867,-0.01344201,-0.08128698,0.052372396,0.13365938,-0.11778609,0.014996233,0.13278233,-0.08665803,0.04835787,0.1350159
7,566,42648,55.0,221.0,166.0,22.0,7.0,-15.0,0.025214948,0.025214948,-1.0641174,1.2157288,0.0036720857,-0.017729979,0.0021752678,-0.01664278,0.7243018,0.63837516,-0.08592665,0.600705,0.59018254,-0.010522485,0.6137944,0.57480484,-0.038989544,0.655125,0.6014239,-0.053701103
7,567,42697,1.0,2.0,1.0,1.0,1.0,0.0,0.029434845,0.029434845,-9.603973,0.43666077,-0.0014740601,-0.015060287,-0.0021457225,-0.011998966,0.2222275,0.16031522,-0.061912283,0.07378114,0.069675505,-0.004105635,0.11019514,0.081885405,-0.028309733,0.14678627,0.10778348,-0.03900279
7,568,42781,5.0,210.0,205.0,1.0,1.0,0.0,0.014133498,0.014133498,-9.945343,0.717226,-0.0068474747,-0.025476351,-0.0075706206,-0.025869332,0.30819297,0.30239102,-0.005801946,0.09585447,0.0710762,-0.02477827,0.08431452,0.059553843,-0.024760675,0.11532604,0.0876183,-0.02770774
7,569,42851,1.0,1.0,0.0,1.0,4.0,3.0,0.03937703,0.03937703,-63.67633,-2.372076,-0.008069668,-0.012527339,-0.010116551,-0.0073589757,0.09065088,0.113847144,0.023196265,0.03610344,0.051038098,0.014934659,0.035649344,0.05526242,0.019613076,0.04376436,0.06495833,0.021193966
7,570,42912,52.0,144.0,92.0,4.0,3.0,-1.0,0.027466211,0.027466211,-1.3591309,0.82559013,0.0066033043,-0.0056131072,0.0020088218,-0.0076003335,0.13575666,0.18409634,0.04833968,-0.024409987,0.21063803,0.23504803,-0.034038045,0.20948273,0.24352077,-0.012237944,0.2350922,0.24733013
