subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0
5,0,2950,2.0,79.0,77.0,2.0,5.0,3.0,0.028866649,0.028866649,-42.881012,-1.4910297,-0.0044061765,-0.017615892,-0.004762985,-0.020881485,0.1446065,0.15152964,0.006923139,0.13187002,0.12567471,-0.006195307,0.1354889,0.14042056,0.0049316585,0.15107496,0.15683395,0.005758986
5,1,2990,2.0,159.0,157.0,1.0,4.0,3.0,0.021267354,0.021267354,-38.97229,-0.6978874,-0.0039534047,-0.017016042,-0.0066478774,-0.023340095,0.14181268,0.17101534,0.029202655,0.17446136,0.1400913,-0.034370065,0.18332969,0.12655526,-0.056774423,0.19912918,0.14591976,-0.053209424
5,2,3049,4.0,2.0,-2.0,4.0,3.0,-1.0,0.0462517,0.0462517,-81.35019,-2.5188007,0.0028805248,0.0022653975,-0.00012556091,0.000729952,0.07996536,-0.010638905,-0.09060427,0.042550024,0.078799136,0.036249112,0.0862142,0.108362354,0.022148155,0.095146246,0.103148825,0.008002579
5,3,3077,19.0,102.0,83.0,24.0,3.0,-21.0,0.041889045,0.041889045,-62.793427,-1.6631851,0.011004221,-0.008091636,0.00824618,-0.009044547,0.1883783,0.16037415,-0.028004155,0.121887185,0.20273693,0.080849744,0.11584043,0.22967625,0.11383582,0.12871532,0.23979478,0.111079454
5,4,3146,9.0,95.0,86.0,33.0,23.0,-10.0,0.036318492,0.036318492,-18.071167,0.15268517,0.0051012374,-0.014888167,0.005309906,-0.016462274,0.56602496,0.4000557,-0.16596925,0.24206913,0.32180288,0.07973376,0.28050607,0.35279706,0.07229099,0.3462237,0.37852773,0.03230402
5,5,3157,2.0,22.0,20.0,9.0,2.0,-7.0,0.027631115,0.027631115,-64.70868,-3.1679325,0.0048439987,-0.012752019,0.004475396,-0.01473324,0.40396857,0.3093194,-0.094649166,-0.07117506,-0.06532518,0.005849883,-0.051119942,-0.048865482,0.00225446,0.013459563,-0.0042333123,-0.017692875
5,6,3164,92.0,263.0,171.0,26.0,100.0,74.0,0.03125684,0.03125684,-37.928253,-0.9031143,0.0015363675,-0.010918001,0.0025717784,-0.01457989,0.35140768,0.3365587,-0.014848977,0.13005346,0.13511817,0.005064711,0.12353454,0.12911664,0.0055821016,0.15391567,0.16890381,0.014988139
5,7,3171,153.0,671.0,518.0,16.0,13.0,-3.0,0.021097088,0.021097088,-87.9043,-3.2476044,0.0052225385,-0.02934757,0.0029780231,-0.029238684,0.5953363,0.52978754,-0.06554878,0.56907713,0.5479821,-0.021095037,0.5554473,0.54792404,-0.0075232387,0.5933588,0.5856848,-0.0076740384
5,8,3181,1.0,3.0,2.0,1.0,1.0,0.0,0.03504464,0.03504464,-48.003265,-1.4693146,-0.009030238,-0.015149806,-0.011828728,-0.014647987,0.010354819,0.22941819,0.21906337,-0.06748543,0.030343683,0.09782911,-0.07288644,0.03482187,0.107708305,-0.06346086,0.061248448,0.12470931
5,9,3386,43.0,60.0,17.0,43.0,81.0,38.0,0.046139013,0.046139013,-16.812622,0.17738724,0.00033158436,-0.009671569,0.0009405203,-0.007920805,0.21305084,0.34197056,0.12891972,-0.038705684,0.035775226,0.074480906,-0.020501237,0.054186743,0.07468798,-0.0036177053,0.073934466,0.07755217
5,10,3434,3.0,166.0,163.0,1.0,2.0,1.0,0.014149185,0.014149185,-77.484314,-3.2911167,-0.0032934807,-0.022989418,-0.0068856776,-0.024101373,0.48882076,0.52521974,0.036398977,0.50072396,0.23576117,-0.2649628,0.54141283,0.22521107,-0.31620175,0.5803855,0.3052049,-0.2751806
5,11,3449,1.0,1.0,0.0,1.0,1.0,0.0,0.03935262,0.03935262,-75.23364,-2.6871166,-0.00080728903,-0.011419028,-0.0015677847,-0.011469305,0.0675402,0.1478431,0.080302894,0.15162477,0.062170476,-0.08945429,0.202906,0.10166236,-0.10124364,0.2026262,0.119675875,-0.082950324
5,12,3489,7.0,52.0,45.0,14.0,8.0,-6.0,0.039083015,0.039083015,-34.015625,-0.97314453,0.009628013,-0.009676807,0.0037664883,-0.008274801,-0.290268,-0.29523012,-0.0049621165,0.46055406,0.22840177,-0.2321523,0.47006923,0.23712264,-0.23294659,0.42532763,0.19344907,-0.23187856
5,13,3626,4.0,50.0,46.0,1.0,1.0,0.0,0.034784976,0.034784976,-30.597015,-0.6596947,-0.003274124,-0.01837562,-0.0040788054,-0.016562995,0.13162033,0.21661839,0.08499806,0.17592908,0.08592212,-0.09000696,0.1862966,0.11266261,-0.073633984,0.1890277,0.13228911,-0.056738585
5,14,3682,2.0,410.0,408.0,1.0,1.0,0.0,0.00923549,0.00923549,-49.160095,-1.9582195,-0.0022765733,-0.035842195,-0.0026503392,-0.03593342,0.90163046,0.87500197,-0.026628494,0.8334724,0.8497849,0.01631254,0.8539527,0.8656743,0.011721611,0.8760467,0.88209546,0.006048739
5,15,3687,1.0,80.0,79.0,1.0,5.0,4.0,0.021730937,0.021730937,-27.454742,-0.3755417,-0.0066562556,-0.023014288,-0.0056375787,-0.028127111,0.57009065,0.6313203,0.061229646,0.47215885,0.4523432,-0.019815654,0.47400004,0.44536877,-0.02863127,0.5120378,0.493886,-0.01815182
5,16,3729,2.0,127.0,125.0,1.0,2.0,1.0,0.019740682,0.019740682,-59.500885,-2.0426292,-0.0062816925,-0.026301868,-0.0040412247,-0.025954574,-0.070755355,0.16438419,0.23513955,0.022284098,-0.0902552,-0.1125393,0.005351707,-0.118185975,-0.12353768,-0.0051236837,-0.07826012,-0.073136434
5,17,3809,17.0,170.0,153.0,27.0,11.0,-16.0,0.034861542,0.034861542,-71.10617,-2.6595325,0.011249535,-0.014492843,0.009845372,-0.0141642615,0.43936485,0.48235786,0.04299301,0.3700217,0.2637451,-0.1062766,0.3476167,0.26029995,-0.08731675,0.38820332,0.3066706,-0.08153272
5,18,3842,11.0,65.0,54.0,15.0,11.0,-4.0,0.040549774,0.040549774,-61.0011,-2.063223,0.006636787,-0.0071859285,0.0042721555,-0.009625483,-0.03532568,-0.0012010537,0.034124628,0.020956002,0.11050772,0.08955172,0.014424359,0.11288084,0.09845648,0.009547333,0.10435135,0.09480402
5,19,3847,2.0,176.0,174.0,4.0,3.0,-1.0,0.008951206,0.008951206,-82.46912,-2.9848194,0.006309226,-0.036652148,0.0028693154,-0.03552265,0.566363,0.54966444,-0.01669854,0.31359598,0.3264907,0.01289472,0.29556417,0.29635888,0.0007947087,0.3535506,0.36738458,0.01383397
5,20,3856,6.0,207.0,201.0,5.0,4.0,-1.0,0.02352053,0.02352053,-44.94159,-1.595068,0.004835874,-0.031655602,0.0012131669,-0.027533624,0.31679204,0.30228826,-0.014503777,0.08923528,0.1141603,0.024925016,0.093347885,0.109125435,0.01577755,0.12949322,0.13967471,0.010181487
5,21,3913,1.0,106.0,105.0,1.0,2.0,1.0,0.01431619,0.01431619,-58.182312,-2.6366081,-0.0026960224,-0.032624587,-0.0064210407,-0.033389512,0.17820749,0.023802102,-0.15440539,0.08739385,0.197332,0.109938145,0.08334638,0.20689021,0.12354383,0.1122864,0.20278205,0.09049565
5,22,3951,2.0,94.0,92.0,1.0,1.0,0.0,0.016082454,0.016082454,-94.25275,-3.7903137,0.00044540688,-0.023544922,-0.001540862,-0.025655534,0.6643134,0.61822397,-0.04608941,0.49869776,0.5742703,0.07557255,0.5172292,0.59465086,0.077421665,0.55829775,0.6130987,0.054800928
5,23,4051,58.0,115.0,57.0,19.0,7.0,-12.0,0.04092108,0.04092108,-28.182007,-0.38223648,0.0024671406,-0.0072065853,0.0031257123,-0.0067836307,0.18960649,0.19646569,0.006859198,0.12604652,0.15495181,0.028905287,0.12993701,0.18992542,0.05998841,0.14889744,0.20943606,0.06053862
5,24,4058,2.0,30.0,28.0,1.0,1.0,0.0,0.029683687,0.029683687,-53.314545,-1.6978912,-0.0065592676,-0.0112308785,-0.0069578663,-0.016881075,0.42670682,0.4284216,0.001714766,0.37645727,0.29619297,-0.0802643,0.3712106,0.28462824,-0.08658236,0.3996064,0.31908765,-0.08051875
5,25,4129,4.0,32.0,28.0,1.0,1.0,0.0,0.036826763,0.036826763,-14.114105,0.46561432,-0.0025655143,-0.009633508,-0.0042882413,-0.010830235,0.22759181,0.34211606,0.114524245,-0.0077956202,0.34660214,0.35439777,-0.013777185,0.3587348,0.37251198,0.011995207,0.38100153,0.36900634
5,26,4156,2.0,139.0,137.0,1.0,1.0,0.0,0.015433744,0.015433744,-67.69656,-2.3436584,-0.012303226,-0.024729565,-0.013382349,-0.023608647,0.32316983,0.2668833,-0.056286514,-0.079858616,-0.11050311,-0.030644491,-0.06597177,-0.10960406,-0.04363229,-0.023701992,-0.07168963,-0.047987636
5,27,4249,1.0,19.0,18.0,1.0,1.0,0.0,0.022433668,0.022433668,-80.40503,-3.0262547,-0.0076506585,-0.024810575,-0.012071274,-0.026013397,0.47962007,0.4764003,-0.0032197833,-0.15271208,0.0577738,0.21048588,-0.15748625,0.08789842,0.24538466,-0.0974777,0.15018384,0.24766153
5,28,4325,1.0,2.0,1.0,1.0,1.0,0.0,0.028982494,0.028982494,-50.53064,-1.7024746,-0.007317409,-0.018074479,-0.009658281,-0.015648298,0.0030546642,0.12390534,0.120850675,0.14640944,0.10573668,-0.040672757,0.18676306,0.13969038,-0.04707268,0.1665551,0.1464466,-0.020108506
5,29,4423,19.0,218.0,199.0,8.0,9.0,1.0,0.027800322,0.027800322,-40.424713,-0.71751213,0.0049608313,-0.018919319,0.0017744116,-0.018334508,-0.1737892,0.037710223,0.21149942,-0.00852348,-0.0269175,-0.01839402,-0.012195103,-0.026871407,-0.0146763045,-0.03549656,-0.022420524,0.013076035
5,30,4436,7.0,7.0,0.0,1.0,1.0,0.0,0.03864457,0.03864457,-48.03891,-1.6340332,-0.0077472255,-0.0014520101,-0.007927669,-0.0015130714,0.2857235,0.421277,0.13555348,0.019752359,-0.10934383,-0.12909618,0.030684743,-0.09350216,-0.1241869,0.057351664,-0.051378854,-0.10873052
5,31,4612,3.0,60.0,57.0,1.0,1.0,0.0,0.030480262,0.030480262,-35.177155,-0.6229019,-0.012697326,-0.019768074,-0.012307396,-0.018970218,0.34782866,0.29345304,-0.05437562,0.22269455,-0.041985985,-0.26468053,0.20988221,-0.040331304,-0.2502135,0.24358834,-0.0011124626,-0.2447008
5,32,4667,1.0,88.0,87.0,4.0,2.0,-2.0,0.030879784,0.030879784,-8.54895,0.32875824,0.0066979937,-0.024875466,0.0029596426,-0.024055395,0.27798927,0.19523469,-0.08275458,0.104725204,0.09712547,-0.007599734,0.1204263,0.11437187,-0.0060544237,0.14656007,0.13308059,-0.013479486
5,33,4690,4.0,649.0,645.0,1.0,3.0,2.0,0.004057925,0.004057925,-17.665253,0.1359272,-0.009211762,-0.04679311,-0.009640861,-0.048003327,0.37615716,0.4655049,0.08934775,0.117174946,0.16208753,0.044912584,0.12150986,0.15511538,0.033605523,0.15588841,0.2031051,0.0472167
5,34,4768,30.0,65.0,35.0,1.0,2.0,1.0,0.041979242,0.041979242,-22.142426,-0.3092804,-0.0008687787,-0.008645389,-0.00073730573,-0.007932026,0.45513013,0.43257082,-0.022559315,0.19582336,0.11394168,-0.08188168,0.17550315,0.08422765,-0.0912755,0.22851963,0.14505829,-0.083461344
5,35,4786,9.0,29.0,20.0,31.0,2.0,-29.0,0.04759036,0.04759036,-25.438934,-0.94363976,0.011829015,-0.0023985915,0.011599861,-0.00465535,0.6423219,0.63506675,-0.007255137,0.3158117,0.39884675,0.08303505,0.33719736,0.4269689,0.08977154,0.41308448,0.4964798,0.08339533
5,36,4835,3.0,152.0,149.0,7.0,13.0,6.0,0.020166848,0.020166848,-11.6588745,0.042898178,-0.0035154782,-0.022639114,-0.0005556159,-0.026632804,0.5643727,0.507576,-0.05679673,0.551132,0.51302224,-0.03810978,0.5616661,0.523401,-0.03826505,0.58237845,0.5382148,-0.044163644
5,37,4869,2.0,339.0,337.0,1.0,5.0,4.0,0.0022717603,0.0022717603,-46.172607,-1.3246498,-0.00842192,-0.031044934,-0.006122805,-0.038192842,0.6348398,0.58925796,-0.045581818,0.4479474,0.51969767,0.07175025,0.44134012,0.50668263,0.065342516,0.49099848,0.54074794,0.049749464
5,38,4892,11.0,143.0,132.0,1.0,2.0,1.0,0.030681934,0.030681934,-44.276154,-1.1819897,-0.0041887015,-0.010631982,-0.0037038997,-0.017648708,0.44190753,0.42604387,-0.015863657,0.3747549,0.4636879,0.08893299,0.39461368,0.4567564,0.06214273,0.42045406,0.4881485,0.067694455
5,39,4930,1.0,10.0,9.0,1.0,1.0,0.0,0.0076065585,0.0076065585,-79.47049,-2.964798,-0.008275256,-0.05296503,-0.009967431,-0.043116808,0.22658828,0.37797052,0.15138224,0.661084,0.6085766,-0.0525074,0.6681,0.6258814,-0.042218626,0.6523537,0.62350684,-0.02884686
5,40,5034,2.0,291.0,289.0,1.0,4.0,3.0,0.01661313,0.01661313,-62.185944,-1.841259,-0.0030816495,-0.033879492,-0.0070840865,-0.029289383,0.10929392,0.2613095,0.15201558,0.33888185,0.13018757,-0.20869428,0.308504,0.14092417,-0.16757981,0.30273435,0.17558208,-0.12715226
5,41,5106,8.0,39.0,31.0,5.0,8.0,3.0,0.042492535,0.042492535,-31.283447,-0.64502335,0.0028692149,-0.0041613206,0.0009861812,-0.007358838,-0.31009132,-0.08286717,0.22722414,0.07842314,0.27022102,0.19179788,0.050780557,0.24095643,0.19017586,0.0010999787,0.21510825,0.21400827
5,42,5204,17.0,193.0,176.0,21.0,31.0,10.0,0.03332816,0.03332816,-8.739502,0.8629494,0.0029303115,-0.017379021,0.0012609344,-0.018276455,0.6717136,0.6943573,0.022643685,0.37998796,0.5143055,0.13431752,0.38908902,0.52428573,0.13519672,0.4560331,0.5835612,0.12752807
5,43,5285,2.0,4.0,2.0,7.0,2.0,-5.0,0.03386795,0.03386795,-123.66867,-5.7357254,0.00928149,0.0015179776,0.008406628,-0.008869056,0.08156467,0.015242396,-0.066322275,-0.077555865,-0.12421634,-0.046660475,-0.08518078,-0.15259546,-0.06741468,-0.07323292,-0.14688313,-0.07365021
5,44,5301,1.0,279.0,278.0,2.0,9.0,7.0,0.01350769,0.01350769,-46.431,-1.6560287,-0.0010969155,-0.04844959,-0.0036499985,-0.04837942,0.109090276,0.03095624,-0.07813404,-0.13809168,0.07513892,0.21323061,-0.1681826,0.082533374,0.25071597,-0.14818339,0.08398998,0.23217337
5,45,5338,2.0,416.0,414.0,1.0,1.0,0.0,0.011503559,0.011503559,-63.396484,-2.4167747,-0.005144149,-0.024263203,-0.008529501,-0.03606634,0.68122256,0.729326,0.04810345,0.65406615,0.6460692,-0.007996917,0.6731243,0.67983377,0.0067094564,0.7126393,0.721443,0.008803725
5,46,5427,1.0,26.0,25.0,1.0,1.0,0.0,0.012138963,0.012138963,-47.656677,-1.7555962,-0.011306215,-0.021332711,-0.011861656,-0.023229573,0.24712183,0.23763992,-0.009481907,0.1240433,0.2179125,0.093869194,0.12917212,0.23351584,0.10434373,0.15863167,0.25176498,0.093133315
5,47,5459,1.0,30.0,29.0,1.0,1.0,0.0,0.039489314,0.039489314,-45.388428,-1.5414982,-4.0289015e-05,-0.015649106,-0.00014203787,-0.015227996,0.041226495,-0.054136194,-0.09536269,0.02331719,0.15485613,0.13153894,-0.0016423839,0.14291655,0.14455894,0.003414891,0.12267658,0.11926169
5,48,5502,1.0,13.0,12.0,1.0,1.0,0.0,0.02980382,0.02980382,-46.503876,-1.6374912,0.00223431,-0.014202945,0.0012180991,-0.01662467,0.07298605,0.109641775,0.036655724,0.10064635,0.22527014,0.12462379,0.11476828,0.23830166,0.12353338,0.114536606,0.23003608,0.115499474
5,49,5542,1.0,94.0,93.0,1.0,1.0,0.0,0.025112525,0.025112525,-63.151062,-2.0781345,-0.0033815429,-0.026696116,-0.0040462017,-0.027419526,0.49757758,0.5512588,0.053681225,0.4545208,0.4549362,0.00041541457,0.45344672,0.459579,0.006132275,0.47414795,0.50563043,0.031482488
5,50,5574,1.0,29.0,28.0,6.0,2.0,-4.0,0.040229745,0.040229745,-60.534454,-2.2101307,0.0046900474,-0.014718413,0.005477637,-0.017604858,0.3800097,0.3534462,-0.026563525,0.17050952,0.019691369,-0.15081815,0.17215559,-0.0056738015,-0.17782938,0.21499948,0.03528531,-0.17971417
5,51,5583,291.0,122.0,-169.0,149.0,321.0,172.0,0.04969335,0.04969335,-31.088623,-0.31582642,0.0077282563,0.0008913912,0.0063277744,0.0018324442,0.2603699,0.37785533,0.117485434,0.52254486,0.566045,0.043500125,0.51792896,0.57824755,0.06031859,0.5272516,0.5815148,0.054263175
5,52,5602,6.0,870.0,864.0,59.0,67.0,8.0,0.007178476,0.007178476,-45.1604,-1.6600227,0.0028659757,-0.054584444,6.172992e-05,-0.052619606,0.14184628,0.14382535,0.001979068,0.22400151,-0.019695988,-0.2436975,0.2174218,-0.034573562,-0.25199535,0.21810037,-0.015572574,-0.23367295
5,53,5714,1.0,77.0,76.0,2.0,1.0,-1.0,0.020007037,0.020007037,-84.836945,-4.215025,0.005254522,-0.020251561,-0.0003984198,-0.024649967,0.33146086,0.6337963,0.3023354,0.20837243,0.2857057,0.07733326,0.21472201,0.2911968,0.076474786,0.23994532,0.36732292,0.1273776
5,54,5878,1.0,9.0,8.0,5.0,10.0,5.0,0.04286809,0.04286809,-52.727386,-1.4912853,-0.004262943,-0.0077454224,-0.0024380125,-0.0075951405,-0.33948433,-0.19135173,0.1481326,0.14460129,-0.19939904,-0.34400034,0.14704777,-0.17632073,-0.3233685,0.09266184,-0.1868725,-0.27953434
5,55,5890,10.0,805.0,795.0,1.0,1.0,0.0,0.0053403806,0.0053403806,-29.072632,-0.5254383,-0.0015453976,-0.044246964,-0.0011815839,-0.046404593,0.21415016,0.27124593,0.057095766,0.4365318,0.27543086,-0.16110095,0.43594158,0.27385342,-0.16208816,0.42477468,0.27944696,-0.14532772
5,56,6132,3.0,12.0,9.0,3.0,1.0,-2.0,0.054139324,0.054139324,-35.65988,-0.8270664,0.0028558224,-0.0022358373,0.0016099438,-0.0048072115,0.3089681,0.3122686,0.0033005178,0.3532454,0.09985486,-0.25339055,0.37665376,0.116998784,-0.25965497,0.37977013,0.15876582,-0.2210043
5,57,6199,1.0,16.0,15.0,16.0,24.0,8.0,0.043867253,0.043867253,-46.598938,-1.5508728,0.0058340505,-0.0105672665,0.0043098778,-0.009141948,0.6290337,0.4868572,-0.14217648,0.5846145,0.6063345,0.021719992,0.60587263,0.61654234,0.010669708,0.61798996,0.6263023,0.008312345
5,58,6222,7.0,47.0,40.0,1.0,4.0,3.0,0.031672474,0.031672474,-47.300568,-1.6164341,-0.0026455373,-0.012592923,-0.0040792674,-0.014254961,0.24744855,0.22642317,-0.021025375,0.12735766,0.28345826,0.1561006,0.123612575,0.27761695,0.15400437,0.14864829,0.28865117,0.14000288
5,59,6431,9.0,166.0,157.0,1.0,2.0,1.0,0.028390203,0.028390203,-82.88321,-3.2690258,-0.0036557596,-0.018152356,-0.0033946447,-0.022658389,-0.10668918,-0.15789777,-0.051208593,0.005314729,0.1124133,0.10709857,0.015385639,0.11794891,0.10256328,0.0016096171,0.098574355,0.09696474
5,60,6444,1.0,167.0,166.0,1.0,1.0,0.0,0.009282023,0.009282023,-34.361755,-0.6850529,-0.0126725435,-0.040451217,-0.013129782,-0.042747602,0.67640525,0.66589606,-0.010509193,0.37933382,0.48366773,0.10433391,0.40785712,0.50576735,0.097910225,0.47256547,0.5510396,0.078474104
5,61,6489,1.0,69.0,68.0,1.0,2.0,1.0,0.023241311,0.023241311,-18.255646,0.1735363,-0.0028121546,-0.02577139,-0.0048299693,-0.025547259,0.19366924,0.24469805,0.051028803,0.26702216,-0.0043837596,-0.27140594,0.269934,-0.017230012,-0.287164,0.28547755,0.010140409,-0.27533713
