subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1,image_full_pool_rank_margin0,image_full_pool_rank,delta_image_full_pool_rank,eval_clip_nearest_neighbor_cosine,eval_clip_top1_top2_gap,eval_clip_density_top10,train_clip_diag_mahalanobis,train_clip_mean_cosine,train_clip_mean_abs_z,train_clip_max_abs_z,global_reliability_mean,early_reliability_mean,higher_reliability_mean,low_reliability_mean,global_reliability_x_train_mahalanobis,low_reliability_x_train_mahalanobis,low_reliability_x_eval_density_top10,heldout_or_newtest_labels_used_for_reliability,heldout_or_newtest_labels_used_for_train_clip_stats,heldout_or_newtest_labels_used_for_image_ambiguity
5,cycle44_subj05_margin_low_1sess_150ep,10,3434,0.04749465,0.053310316,175,-0.005815666,3.0,0.5,1.5,1.5,0.00059749186,0.00046138838,0.00013610348,0.0,-0.0833333333333333,0,0,1.0,2.0,1.0,0.7005389,0.002513945,0.67982674,1.7529621,0.6610235,0.84468216,12.763658,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38802052,1.3649416,0.52934617,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,11,3449,0.061644487,0.04758534,426,0.014059149,1.0,1.0,1.0,1.0,0.002555564,0.0073904768,-0.0048349127,0.0,0.0,0,0,1.0,1.0,0.0,0.8862185,0.022007406,0.8535721,1.7354827,0.7682906,0.8402093,12.785585,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38415143,1.3513314,0.66463274,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,12,3489,0.049069766,0.050977606,652,-0.0019078404,2.0,0.8,1.2,1.0,0.012016885,0.0039761364,0.008040749,-5.0,0.4,0,0,14.0,3.0,-11.0,0.90789455,0.0071070194,0.8194335,1.7410166,0.801435,0.8408442,12.74831,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38537636,1.3556403,0.6380508,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,13,3626,0.040193874,0.050234452,316,-0.0100405775,7.0,0.0769230769230769,2.8461538461538463,3.0,-0.0027280971,0.0020721816,-0.0048002787,3.0,-0.2307692307692307,0,0,1.0,1.0,0.0,0.8793417,0.012308359,0.85397875,1.7269892,0.8710182,0.8375082,12.737242,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38227135,1.3447179,0.6649494,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,14,3682,0.042816985,0.047958802,996,-0.005141817,5.0,0.1,2.4,2.0,0.0014754906,0.0036642402,-0.0021887496,3.0,-0.7000000000000001,0,0,1.0,1.0,0.0,0.79553634,0.0100464225,0.7702119,1.7439952,0.78216434,0.84263796,12.8221245,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38603568,1.3579595,0.5997245,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,15,3687,0.045883402,0.05276433,828,-0.006880928,3.0,0.3333333333333333,1.8333333333333333,2.0,-0.003797762,0.0039729774,-0.0077707395,2.0,-0.6666666666666667,1,0,1.0,2.0,1.0,0.9212166,0.024588645,0.8785616,1.7257919,0.8651329,0.8378472,12.720629,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38200635,1.3437856,0.68409085,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,16,3729,0.04423692,0.04441348,777,-0.00017656013,2.0,0.5,1.5,1.5,-0.0019530989,-0.0043831393,0.0024300404,0.0,0.0,0,0,1.0,1.0,0.0,0.8169265,0.0017119646,0.78903705,1.7338111,0.8296936,0.8408455,12.668764,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38378143,1.3500297,0.6143826,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,17,3809,0.02703663,0.042955857,903,-0.015919227,25.0,0.0,7.375,7.5,0.001115378,0.0047089905,-0.0035936125,8.0,0.0,0,0,27.0,28.0,1.0,0.83170444,0.018264651,0.80408335,1.7362018,0.79751694,0.8406774,12.789429,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38431057,1.3518912,0.62609845,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,18,3842,0.036319904,0.050715785,493,-0.014395881,15.0,0.0,5.625,5.5,0.0042039566,0.0058224425,-0.0016184859,4.0,0.0,0,0,15.0,13.0,-2.0,0.795233,0.018814683,0.7596326,1.7414591,0.809523,0.8421075,12.870129,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38547432,1.3559848,0.59148693,False,False,False
5,cycle44_subj05_margin_low_1sess_150ep,19,3847,0.05197128,0.054004014,614,-0.0020327345,2.0,0.3333333333333333,1.6666666666666667,2.0,0.00041357055,-0.001151938,0.0015655085,0.0,0.0,0,0,4.0,4.0,0.0,0.87049764,0.038419247,0.8286292,1.7350093,0.8078527,0.83835095,12.79493,0.22135134041309357,0.27517229318618774,0.2003406286239624,0.7786486595869064,0.38404664,1.3509628,0.64521104,False,False,False
