subject,covariate,outcome,pearson,spearman
5,train_clip_diag_mahalanobis,delta_full_pool_rank,0.034204833370373604,0.04317016974106062
5,train_clip_diag_mahalanobis,delta_image_full_pool_rank,-0.019872935897378503,0.009579003111340701
5,train_clip_diag_mahalanobis,delta_margin,-0.02650619582617395,-0.03618224418224418
5,train_clip_diag_mahalanobis,delta_sampled_top1_success_rate,-0.04291420504096122,-0.05121933203647681
5,train_clip_diag_mahalanobis,rank1_to_not1,0.011114757255619246,0.011436390453463643
5,train_clip_diag_mahalanobis,not1_to_rank1,-0.037895960185659494,-0.035229699377791135
5,train_clip_diag_mahalanobis,full_pool_rank,0.03422644076420324,0.021411508544745213
5,train_clip_diag_mahalanobis,image_full_pool_rank,0.02884747151512842,0.018687410080013966
5,train_clip_mean_cosine,delta_full_pool_rank,0.005781975040739203,0.013577370881699653
5,train_clip_mean_cosine,delta_image_full_pool_rank,-0.005489798657420213,-0.006550449223237056
5,train_clip_mean_cosine,delta_margin,-0.05510528288180621,-0.05089242304510032
5,train_clip_mean_cosine,delta_sampled_top1_success_rate,0.011421101411389687,0.008912484969216873
5,train_clip_mean_cosine,rank1_to_not1,0.022572708185286686,0.018410560403235965
5,train_clip_mean_cosine,not1_to_rank1,-0.001377162273723527,-0.014884470020921277
5,train_clip_mean_cosine,full_pool_rank,0.0010297373101544839,0.08672299092050152
5,train_clip_mean_cosine,image_full_pool_rank,0.04074301660586685,0.07228981403985561
5,train_clip_mean_abs_z,delta_full_pool_rank,0.02487649413821291,0.03754227782264161
5,train_clip_mean_abs_z,delta_image_full_pool_rank,-0.02154910961504726,0.019283078710361307
5,train_clip_mean_abs_z,delta_margin,-0.021631550044327458,-0.03765404633181917
5,train_clip_mean_abs_z,delta_sampled_top1_success_rate,-0.031155688264943294,-0.03419832575714701
5,train_clip_mean_abs_z,rank1_to_not1,-0.009085925969642007,-0.010125808373667059
5,train_clip_mean_abs_z,not1_to_rank1,-0.03673245216261796,-0.031929841042695896
5,train_clip_mean_abs_z,full_pool_rank,0.02525996129271432,0.011980522405704973
5,train_clip_mean_abs_z,image_full_pool_rank,0.026372831508415323,0.01429503657923159
5,train_clip_max_abs_z,delta_full_pool_rank,-0.03380077248222965,0.02128715422791706
5,train_clip_max_abs_z,delta_image_full_pool_rank,-0.02398471286645768,0.004297921621076839
5,train_clip_max_abs_z,delta_margin,-0.03507521283334391,-0.017110355161686228
5,train_clip_max_abs_z,delta_sampled_top1_success_rate,-0.045802247172061425,-0.0453128658924239
5,train_clip_max_abs_z,rank1_to_not1,-0.013922660322329623,-0.0210629292748886
5,train_clip_max_abs_z,not1_to_rank1,-0.01735582499748155,-0.009688947466448756
5,train_clip_max_abs_z,full_pool_rank,0.00860645010970203,0.01887954207568314
