subject,covariate,outcome,pearson,spearman
5,train_clip_max_abs_z,image_full_pool_rank,0.01191476510936846,0.03659224215534165
5,eval_clip_nearest_neighbor_cosine,delta_full_pool_rank,-0.04502131234109998,-0.048142390478347945
5,eval_clip_nearest_neighbor_cosine,delta_image_full_pool_rank,-0.008090931327640553,-0.057875489907107586
5,eval_clip_nearest_neighbor_cosine,delta_margin,0.08498402083916584,0.08857650907918856
5,eval_clip_nearest_neighbor_cosine,delta_sampled_top1_success_rate,0.05257475967903346,0.03363143890052713
5,eval_clip_nearest_neighbor_cosine,rank1_to_not1,-0.010396557306735943,-0.015641183422542032
5,eval_clip_nearest_neighbor_cosine,not1_to_rank1,0.05994040361562066,0.05819612385644067
5,eval_clip_nearest_neighbor_cosine,full_pool_rank,-0.03240258488241882,0.026502489036251353
5,eval_clip_nearest_neighbor_cosine,image_full_pool_rank,-0.03604027044478851,-0.01948412373912786
5,eval_clip_top1_top2_gap,delta_full_pool_rank,-0.05757354241359266,0.0221089397356398
5,eval_clip_top1_top2_gap,delta_image_full_pool_rank,-0.026898281031482976,0.001180276927385249
5,eval_clip_top1_top2_gap,delta_margin,-0.02409091496780958,-0.05741913341913342
5,eval_clip_top1_top2_gap,delta_sampled_top1_success_rate,-0.012902043817349136,-0.014517582673759374
5,eval_clip_top1_top2_gap,rank1_to_not1,0.0310338452725111,0.04101810436856195
5,eval_clip_top1_top2_gap,not1_to_rank1,0.008898641966771523,-0.016725526011068245
5,eval_clip_top1_top2_gap,full_pool_rank,-0.03018440145193294,-0.042415509643176134
5,eval_clip_top1_top2_gap,image_full_pool_rank,0.005050008480759029,-0.050490447715731815
5,eval_clip_density_top10,delta_full_pool_rank,-0.012133788767831334,-0.03264040342736351
5,eval_clip_density_top10,delta_image_full_pool_rank,0.0027952367623052953,-0.04059863569917657
5,eval_clip_density_top10,delta_margin,0.059849853926543524,0.06904324504324505
5,eval_clip_density_top10,delta_sampled_top1_success_rate,0.04444181535332679,0.023056339992285724
5,eval_clip_density_top10,rank1_to_not1,-0.013479953219889878,-0.015883008842600254
5,eval_clip_density_top10,not1_to_rank1,0.037164469221760386,0.0319376415528514
5,eval_clip_density_top10,full_pool_rank,-0.01953328743167168,0.07045661814555033
5,eval_clip_density_top10,image_full_pool_rank,-0.037559169815811526,0.012125138404434788
5,global_reliability_mean,delta_full_pool_rank,,
5,global_reliability_mean,delta_image_full_pool_rank,,
5,global_reliability_mean,delta_margin,,
5,global_reliability_mean,delta_sampled_top1_success_rate,,
5,global_reliability_mean,rank1_to_not1,,
5,global_reliability_mean,not1_to_rank1,,
5,global_reliability_mean,full_pool_rank,,
5,global_reliability_mean,image_full_pool_rank,,
5,early_reliability_mean,delta_full_pool_rank,,
5,early_reliability_mean,delta_image_full_pool_rank,,
5,early_reliability_mean,delta_margin,,
5,early_reliability_mean,delta_sampled_top1_success_rate,,
5,early_reliability_mean,rank1_to_not1,,
5,early_reliability_mean,not1_to_rank1,,
5,early_reliability_mean,full_pool_rank,,
5,early_reliability_mean,image_full_pool_rank,,
5,higher_reliability_mean,delta_full_pool_rank,,
5,higher_reliability_mean,delta_image_full_pool_rank,,
5,higher_reliability_mean,delta_margin,,
5,higher_reliability_mean,delta_sampled_top1_success_rate,,
5,higher_reliability_mean,rank1_to_not1,,
5,higher_reliability_mean,not1_to_rank1,,
5,higher_reliability_mean,full_pool_rank,,
5,higher_reliability_mean,image_full_pool_rank,,
5,global_reliability_x_train_mahalanobis,delta_full_pool_rank,0.034204677210288255,0.043171820228728786
5,global_reliability_x_train_mahalanobis,delta_image_full_pool_rank,-0.019873067216053017,0.009576919673777962
5,global_reliability_x_train_mahalanobis,delta_margin,-0.026506189714295032,-0.03618285039994751
5,global_reliability_x_train_mahalanobis,delta_sampled_top1_success_rate,-0.04291440561626229,-0.0512221723135609
5,global_reliability_x_train_mahalanobis,rank1_to_not1,0.011114645701261278,0.011436390522082054
5,global_reliability_x_train_mahalanobis,not1_to_rank1,-0.0378961116061423,-0.03523750067410957
5,global_reliability_x_train_mahalanobis,full_pool_rank,0.034226388757474926,0.02141307569925359
5,global_reliability_x_train_mahalanobis,image_full_pool_rank,0.02884725700444257,0.018689464194446694
5,low_reliability_x_train_mahalanobis,delta_full_pool_rank,0.034204481258946054,0.043167102016943584
5,low_reliability_x_train_mahalanobis,delta_image_full_pool_rank,-0.019872714091545774,0.009579003140077738
5,low_reliability_x_train_mahalanobis,delta_margin,-0.02650572610145908,-0.0361828022913507
5,low_reliability_x_train_mahalanobis,delta_sampled_top1_success_rate,-0.04291403952732697,-0.051219332190134956
5,low_reliability_x_train_mahalanobis,rank1_to_not1,0.01111461316935832,0.011436390487772848
5,low_reliability_x_train_mahalanobis,not1_to_rank1,-0.037896173276925293,-0.035229699483480335
5,low_reliability_x_train_mahalanobis,full_pool_rank,0.03422634633370615,0.02140683856109482
5,low_reliability_x_train_mahalanobis,image_full_pool_rank,0.0288472075340777,0.01868476649904403
5,low_reliability_x_eval_density_top10,delta_full_pool_rank,-0.012133785650336303,-0.03264040342736351
5,low_reliability_x_eval_density_top10,delta_image_full_pool_rank,0.002795216809707098,-0.04059863569917657
5,low_reliability_x_eval_density_top10,delta_margin,0.05984983842129297,0.06904324504324505
5,low_reliability_x_eval_density_top10,delta_sampled_top1_success_rate,0.04444181019035251,0.023056339992285724
5,low_reliability_x_eval_density_top10,rank1_to_not1,-0.013479968831367543,-0.015883008842600254
5,low_reliability_x_eval_density_top10,not1_to_rank1,0.03716445211725258,0.0319376415528514
5,low_reliability_x_eval_density_top10,full_pool_rank,-0.019533283372041004,0.07045661814555033
5,low_reliability_x_eval_density_top10,image_full_pool_rank,-0.037559179700575464,0.012125138404434788
