subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1,image_full_pool_rank_margin0,image_full_pool_rank,delta_image_full_pool_rank,eval_clip_nearest_neighbor_cosine,eval_clip_top1_top2_gap,eval_clip_density_top10,train_clip_diag_mahalanobis,train_clip_mean_cosine,train_clip_mean_abs_z,train_clip_max_abs_z,global_reliability_mean,early_reliability_mean,higher_reliability_mean,low_reliability_mean,global_reliability_x_train_mahalanobis,low_reliability_x_train_mahalanobis,low_reliability_x_eval_density_top10,heldout_or_newtest_labels_used_for_reliability,heldout_or_newtest_labels_used_for_train_clip_stats,heldout_or_newtest_labels_used_for_image_ambiguity
7,cycle44_subj07_margin_low_1sess_150ep,0,2950,0.027308373,0.04260366,875,-0.015295288,78.0,0.0,23.83333333333333,23.5,-0.007312374,-0.001331076,-0.005981298,56.0,0.0,0,0,27.0,54.0,27.0,0.8600445,0.0029179454,0.8380644,1.6868776,0.8475466,0.8311144,11.991843,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.28980124,1.3970764,0.694087,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,1,2990,0.024801264,0.043427456,921,-0.018626193,128.0,0.0,39.38461538461539,39.0,-0.002411304,-0.00049934164,-0.0019119624,3.0,0.0,0,0,98.0,98.0,0.0,0.8667626,0.032428622,0.8137466,1.6941503,0.84091467,0.8321633,11.982908,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.2910507,1.4030997,0.673947,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,2,3049,0.052057117,0.05430025,11,-0.0022431314,2.0,0.8333333333333334,1.1666666666666667,1.0,0.004012786,0.0011923313,0.0028204545,-2.0,0.5,0,0,20.0,17.0,-3.0,0.9230525,0.001975596,0.91261613,1.6828836,0.7837099,0.82990944,11.920126,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.2891151,1.3937685,0.755831,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,3,3077,0.056821413,0.05015771,11,0.0066637024,1.0,1.0,1.0,1.0,-0.00077529997,-0.0015641414,0.0007888414,0.0,0.0,0,0,1.0,1.0,0.0,0.75149965,0.007315457,0.7281082,1.7037791,0.74895096,0.83617914,12.035948,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.29270488,1.4110742,0.6030211,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,4,3146,0.053314634,0.04607327,697,0.0072413646,1.0,1.0,1.0,1.0,0.0021059923,-0.0019112974,0.0040172897,0.0,0.0,0,0,6.0,2.0,-4.0,0.8346515,0.022261977,0.78000027,1.6964053,0.824645,0.8331121,11.878192,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.29143807,1.4049672,0.6459982,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,5,3157,0.050834697,0.055637985,778,-0.0048032887,4.0,0.5555555555555556,1.7777777777777777,1.0,-0.0045878515,-0.004803188,0.00021533668,0.0,0.1111111111111111,0,0,1.0,2.0,1.0,0.85074663,0.0132082105,0.8146814,1.6933061,0.8359332,0.8334242,11.969289,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.29090565,1.4024004,0.67472124,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,6,3164,0.044615127,0.057661556,655,-0.013046429,5.0,0.5,1.875,1.5,-0.012100443,-9.005517e-05,-0.012010388,3.0,-0.375,0,0,1.0,1.0,0.0,0.855918,0.017597616,0.8093052,1.681739,0.8577718,0.8309454,11.870459,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.28891844,1.3928205,0.6702686,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,7,3171,0.045919277,0.05707575,567,-0.011156473,11.0,0.0,3.125,3.0,-0.0028879829,0.000191506,-0.0030794889,5.0,-0.25,0,0,4.0,4.0,0.0,0.9167296,0.00671798,0.8285097,1.6892923,0.7714905,0.8321938,12.007292,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.2902161,1.3990762,0.68617386,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,8,3181,0.05183128,0.04703415,859,0.004797127,1.0,1.0,1.0,1.0,0.00085034594,-0.0041249506,0.0049752966,-1.0,0.25,0,1,4.0,1.0,-3.0,0.87425077,0.002441287,0.8399078,1.6836497,0.8495214,0.8307545,11.930797,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.2892467,1.394403,0.6956138,False,False,False
7,cycle44_subj07_margin_low_1sess_150ep,9,3386,0.05650473,0.05978185,11,-0.0032771192,3.0,1.0,1.0,1.0,-0.0010965466,-0.0013383627,0.00024181604,1.0,0.4,0,0,1.0,1.0,0.0,0.9219809,0.003663063,0.90582275,1.6832078,0.78031385,0.8304306,11.894987,0.17179743945598602,0.25765520334243774,0.14220105111598969,0.828202560544014,0.28917077,1.3940369,0.7502047,False,False,False
