eval_index,nsd_image_id,predclip_image_rank_neighbor0,predclip_image_rank_neighbor_low,predclip_image_rank_delta_low_minus_zero,predclip_brain_rank_neighbor0,predclip_brain_rank_neighbor_low,predclip_brain_rank_delta_low_minus_zero,predclip_image_score_delta_low_minus_zero,predclip_brain_score_delta_low_minus_zero,blurry_pixcorr_neighbor0,blurry_pixcorr_neighbor_low,blurry_pixcorr_delta_low_minus_zero,recons_pixcorr_neighbor0,recons_pixcorr_neighbor_low,recons_pixcorr_delta_low_minus_zero,enhanced_pixcorr_neighbor0,enhanced_pixcorr_neighbor_low,enhanced_pixcorr_delta_low_minus_zero,enhanced_evalmix_pixcorr_neighbor0,enhanced_evalmix_pixcorr_neighbor_low,enhanced_evalmix_pixcorr_delta_low_minus_zero
0,2950,22.0,68.0,46.0,27.0,57.0,30.0,-0.005281016,-0.005281016,-0.120829135,0.03802807,0.1588572,0.14809865,0.19733861,0.049239963,0.14239351,0.21908255,0.076689035,0.12977234,0.22040807,0.09063573
1,2990,125.0,269.0,144.0,98.0,144.0,46.0,-0.0050849672,-0.0050849672,0.15018399,0.20798302,0.057799026,-0.0064025824,0.054774918,0.0611775,-0.0071899556,0.061320245,0.068510205,0.003895617,0.07952559,0.07562997
2,3049,4.0,2.0,-2.0,20.0,7.0,-13.0,0.010151297,0.010151297,-0.27775908,-0.39987186,-0.12211278,-0.051374365,0.047154564,0.09852893,-0.01552418,0.08023391,0.09575809,-0.056396045,0.011410884,0.06780693
3,3077,1.0,1.0,0.0,1.0,1.0,0.0,0.0030685551,0.0030685551,-0.12434707,-0.33651835,-0.21217129,-0.0029031557,-0.20993197,-0.20702882,0.0010957093,-0.22139208,-0.22248779,-0.016522862,-0.24494107,-0.2284182
4,3146,1.0,2.0,1.0,6.0,3.0,-3.0,-0.00066138804,-0.00066138804,0.5997562,0.5775959,-0.022160292,0.48718655,0.40174398,-0.08544257,0.50407934,0.41585207,-0.08822727,0.5330116,0.4705448,-0.06246683
5,3157,4.0,5.0,1.0,1.0,2.0,1.0,-0.0045776814,-0.0045776814,0.63011765,0.58193904,-0.048178613,0.35137373,0.10690935,-0.24446438,0.39418226,0.12905768,-0.2651246,0.4620917,0.22187737,-0.24021435
6,3164,2.0,11.0,9.0,1.0,1.0,0.0,-0.010914449,-0.010914449,0.47729185,0.42151287,-0.05577898,0.17157482,0.07060283,-0.10097199,0.17513922,0.059091266,-0.11604795,0.22203146,0.09805036,-0.123981096
7,3171,6.0,4.0,-2.0,4.0,2.0,-2.0,0.0058513694,0.0058513694,0.50424355,0.18615061,-0.31809294,0.17581935,0.23696277,0.061143413,0.21903571,0.26377565,0.04473993,0.27461362,0.2770045,0.0023908913
8,3181,2.0,2.0,0.0,4.0,1.0,-3.0,0.00350843,0.00350843,0.11154934,0.07225742,-0.03929192,0.12573127,0.0919071,-0.033824176,0.12882292,0.095705874,-0.03311705,0.13375536,0.0999401,-0.033815257
9,3386,2.0,6.0,4.0,1.0,1.0,0.0,-0.0010706112,-0.0010706112,-0.044129673,-0.08900416,-0.044874486,0.039672658,0.0074766623,-0.032195996,0.0753527,0.0238679,-0.0514848,0.055843093,0.0010113366,-0.054831754
