eval_index,nsd_image_id,predclip_image_rank_neighbor0,predclip_image_rank_neighbor_low,predclip_image_rank_delta_low_minus_zero,predclip_brain_rank_neighbor0,predclip_brain_rank_neighbor_low,predclip_brain_rank_delta_low_minus_zero,predclip_image_score_delta_low_minus_zero,predclip_brain_score_delta_low_minus_zero,blurry_pixcorr_neighbor0,blurry_pixcorr_neighbor_low,blurry_pixcorr_delta_low_minus_zero,recons_pixcorr_neighbor0,recons_pixcorr_neighbor_low,recons_pixcorr_delta_low_minus_zero,enhanced_pixcorr_neighbor0,enhanced_pixcorr_neighbor_low,enhanced_pixcorr_delta_low_minus_zero,enhanced_evalmix_pixcorr_neighbor0,enhanced_evalmix_pixcorr_neighbor_low,enhanced_evalmix_pixcorr_delta_low_minus_zero
126,10586,40.0,150.0,110.0,3.0,6.0,3.0,-0.009539204,-0.009539204,0.44545817,0.44849357,0.0030353963,0.47233257,0.15320309,-0.31912947,0.46919882,0.17930906,-0.28988975,0.5017961,0.25357,-0.24822614
127,10600,1.0,1.0,0.0,2.0,3.0,1.0,-0.008436445,-0.008436445,0.44889268,0.47214517,0.023252487,0.15233937,0.03330674,-0.11903263,0.17943816,0.06311828,-0.11631988,0.23710471,0.12849154,-0.10861318
128,10610,3.0,2.0,-1.0,1.0,2.0,1.0,-0.0024602227,-0.0024602227,0.21076506,0.17651905,-0.034246013,-0.1409555,-0.24860169,-0.1076462,-0.14034976,-0.2683294,-0.12797965,-0.10910246,-0.24507755,-0.1359751
129,10907,1.0,1.0,0.0,1.0,1.0,0.0,-0.0035741217,-0.0035741217,0.5395628,0.5544403,0.014877498,0.4344616,0.36485368,-0.06960791,0.44033006,0.3711749,-0.06915516,0.4767842,0.4254246,-0.051359594
130,11159,2.0,2.0,0.0,2.0,1.0,-1.0,0.0012412146,0.0012412146,-0.051658567,0.025245188,0.07690375,0.24795224,0.25826767,0.010315433,0.28101483,0.2771472,-0.0038676262,0.2584367,0.27018335,0.011746645
131,11333,1.0,1.0,0.0,1.0,1.0,0.0,-0.00165141,-0.00165141,-0.11614003,-0.15451902,-0.03837899,-0.03168353,-0.12832858,-0.09664504,-0.031025693,-0.13056375,-0.09953806,-0.03703765,-0.134882,-0.097844355
132,11487,1.0,1.0,0.0,2.0,2.0,0.0,-0.0026293695,-0.0026293695,0.08914837,0.12168902,0.03254065,-0.088978134,-0.12613967,-0.037161537,-0.08009421,-0.11267616,-0.032581948,-0.06910798,-0.09845941,-0.029351428
133,11521,20.0,53.0,33.0,14.0,72.0,58.0,-0.009091073,-0.009091073,-0.13509747,-0.21537149,-0.080274016,0.013016572,-0.11505186,-0.12806843,0.003158445,-0.09641149,-0.09956993,-0.018188758,-0.1236316,-0.10544284
134,11566,1.0,1.0,0.0,1.0,1.0,0.0,0.0057450086,0.0057450086,0.42046037,0.33903515,-0.08142522,0.72877604,0.65660244,-0.072173595,0.7394598,0.6714086,-0.06805122,0.7428352,0.6667402,-0.076095045
135,11617,1.0,1.0,0.0,1.0,1.0,0.0,-0.008178484,-0.008178484,0.010448863,0.11384091,0.10339204,0.25330272,0.23091482,-0.022387907,0.26811922,0.23757295,-0.030546263,0.25559133,0.24418826,-0.011403069
136,11635,26.0,79.0,53.0,41.0,41.0,0.0,-0.004595626,-0.004595626,0.41543096,0.4926163,0.07718533,0.42207715,0.37739804,-0.044679105,0.43178365,0.3976686,-0.034115046,0.4584887,0.4437929,-0.014695793
137,11689,2.0,2.0,0.0,4.0,4.0,0.0,0.00011030771,0.00011030771,0.28560278,0.28086582,-0.00473696,0.37990203,0.25045747,-0.12944457,0.40539035,0.2855383,-0.119852066,0.40864447,0.3050243,-0.10362017
138,11725,12.0,4.0,-8.0,1.0,1.0,0.0,0.009793237,0.009793237,0.21416688,0.19924384,-0.014923036,0.15256807,0.13068758,-0.021880493,0.13451906,0.12243535,-0.012083702,0.16249517,0.15728396,-0.0052112043
