eval_index,nsd_image_id,image_rank_topo0,image_rank_topo_low,image_rank_delta_low_minus_zero,brain_rank_topo0,brain_rank_topo_low,brain_rank_delta_low_minus_zero,image_score_delta_low_minus_zero,brain_score_delta_low_minus_zero,teacher_top1_rank_topo0,teacher_top1_rank_topo_low,teacher_top1_rank_delta_low_minus_zero,teacher_neighbor_overlap5_topo0,teacher_neighbor_overlap5_topo_low,teacher_neighbor_overlap5_delta_low_minus_zero,pixcorr_topo0,pixcorr_topo_low,pixcorr_delta_low_minus_zero
0,2950,22.0,81.0,59.0,27.0,68.0,41.0,0.00021644309,0.00021644309,129.0,115.0,-14.0,0.0,0.0,0.0,0.13192347,0.22753334,0.09560987
1,2990,125.0,235.0,110.0,98.0,139.0,41.0,0.0038141217,0.0038141217,319.0,270.0,-49.0,0.0,0.0,0.0,0.0039440542,-0.019813698,-0.023757752
2,3049,4.0,2.0,-2.0,20.0,13.0,-7.0,0.015636072,0.015636072,4.0,2.0,-2.0,0.2,0.2,0.0,-0.05689904,-0.07521196,-0.018312916
3,3077,1.0,1.0,0.0,1.0,1.0,0.0,0.008935861,0.008935861,991.0,996.0,5.0,0.0,0.0,0.0,-0.016839635,-0.114671305,-0.09783167
4,3146,1.0,1.0,0.0,6.0,3.0,-3.0,0.009158887,0.009158887,112.0,46.0,-66.0,0.2,0.2,0.0,0.5360935,0.5180842,-0.018009245
5,3157,4.0,7.0,3.0,1.0,1.0,0.0,0.0019299984,0.0019299984,125.0,172.0,47.0,0.4,0.4,0.0,0.46389526,0.33238256,-0.1315127
6,3164,2.0,16.0,14.0,1.0,1.0,0.0,-0.0054249093,-0.0054249093,88.0,64.0,-24.0,0.0,0.0,0.0,0.22480728,0.23079745,0.0059901774
7,3171,6.0,2.0,-4.0,4.0,1.0,-3.0,0.011607435,0.011607435,53.0,185.0,132.0,0.0,0.0,0.0,0.27760625,0.4691655,0.19155926
8,3181,2.0,3.0,1.0,4.0,1.0,-3.0,0.007793609,0.007793609,118.0,92.0,-26.0,0.2,0.2,0.0,0.13451473,0.33755323,0.2030385
9,3386,2.0,5.0,3.0,1.0,1.0,0.0,0.0040211976,0.0040211976,350.0,406.0,56.0,0.2,0.4,0.2,0.056031935,-0.0057592457,-0.06179118
10,3434,7.0,5.0,-2.0,1.0,1.0,0.0,0.0077822916,0.0077822916,11.0,5.0,-6.0,0.4,0.6,0.20000002,0.152971,0.03774303,-0.11522797
11,3449,1.0,1.0,0.0,2.0,2.0,0.0,0.011253968,0.011253968,44.0,18.0,-26.0,0.2,0.2,0.0,-0.11852052,0.011821298,0.13034181
12,3489,1.0,1.0,0.0,1.0,1.0,0.0,0.006721765,0.006721765,151.0,64.0,-87.0,0.2,0.2,0.0,0.5178411,0.5393134,0.021472275
13,3626,1.0,1.0,0.0,1.0,1.0,0.0,0.0046213716,0.0046213716,8.0,2.0,-6.0,0.0,0.2,0.2,0.08595163,0.2197611,0.13380948
14,3682,2.0,1.0,-1.0,1.0,1.0,0.0,0.00940128,0.00940128,13.0,4.0,-9.0,0.0,0.4,0.4,0.85258293,0.80368304,-0.04889989
15,3687,11.0,13.0,2.0,2.0,2.0,0.0,0.005988445,0.005988445,258.0,200.0,-58.0,0.4,0.2,-0.2,0.55229616,0.53173494,-0.020561218
16,3729,69.0,26.0,-43.0,3.0,3.0,0.0,0.0106224865,0.0106224865,389.0,269.0,-120.0,0.0,0.0,0.0,0.014724839,-0.12104888,-0.13577372
17,3809,5.0,11.0,6.0,3.0,7.0,4.0,0.0038773566,0.0038773566,88.0,90.0,2.0,0.2,0.2,0.0,0.24237655,0.21930948,-0.023067072
18,3842,3.0,4.0,1.0,1.0,1.0,0.0,0.0056739748,0.0056739748,287.0,141.0,-146.0,0.0,0.0,0.0,-0.058652848,-0.03208037,0.026572477
19,3847,22.0,43.0,21.0,16.0,10.0,-6.0,0.004764136,0.004764136,26.0,39.0,13.0,0.0,0.2,0.2,0.42226496,0.3640006,-0.058264375
20,3856,116.0,144.0,28.0,62.0,41.0,-21.0,0.008816307,0.008816307,116.0,64.0,-52.0,0.0,0.0,0.0,-0.12866932,-0.07215677,0.05651255
21,3913,1.0,2.0,1.0,1.0,1.0,0.0,0.0044659004,0.0044659004,88.0,36.0,-52.0,0.2,0.2,0.0,-0.17790551,-0.26861605,-0.090710536
22,3951,1.0,1.0,0.0,2.0,2.0,0.0,0.006374307,0.006374307,8.0,8.0,0.0,0.4,0.4,0.0,0.63916683,0.56479573,-0.0743711
23,4051,4.0,2.0,-2.0,18.0,11.0,-7.0,0.013823226,0.013823226,134.0,112.0,-22.0,0.0,0.0,0.0,0.2988964,0.1288605,-0.1700359
24,4058,1.0,1.0,0.0,1.0,1.0,0.0,0.007154431,0.007154431,130.0,62.0,-68.0,0.0,0.0,0.0,0.2610555,0.29420865,0.033153147
25,4129,313.0,268.0,-45.0,20.0,11.0,-9.0,0.009482367,0.009482367,133.0,110.0,-23.0,0.0,0.0,0.0,0.09038178,0.21731998,0.1269382
26,4156,25.0,28.0,3.0,2.0,6.0,4.0,0.0037519261,0.0037519261,34.0,18.0,-16.0,0.0,0.0,0.0,0.15370516,0.010623632,-0.14308153
