eval_index,nsd_image_id,image_rank_topo0,image_rank_topo_low,image_rank_delta_low_minus_zero,brain_rank_topo0,brain_rank_topo_low,brain_rank_delta_low_minus_zero,image_score_delta_low_minus_zero,brain_score_delta_low_minus_zero,teacher_top1_rank_topo0,teacher_top1_rank_topo_low,teacher_top1_rank_delta_low_minus_zero,teacher_neighbor_overlap5_topo0,teacher_neighbor_overlap5_topo_low,teacher_neighbor_overlap5_delta_low_minus_zero,pixcorr_topo0,pixcorr_topo_low,pixcorr_delta_low_minus_zero
27,4249,1.0,1.0,0.0,1.0,1.0,0.0,0.0039710067,0.0039710067,23.0,20.0,-3.0,0.2,0.2,0.0,0.52285457,0.55989015,0.037035584
28,4325,1.0,1.0,0.0,2.0,1.0,-1.0,0.004114926,0.004114926,466.0,447.0,-19.0,0.0,0.0,0.0,0.23664328,0.15460013,-0.082043156
29,4423,4.0,4.0,0.0,1.0,2.0,1.0,0.008474708,0.008474708,64.0,58.0,-6.0,0.0,0.0,0.0,-0.02136886,-0.04028053,-0.018911669
30,4436,1.0,1.0,0.0,1.0,4.0,3.0,0.0052880123,0.0052880123,192.0,180.0,-12.0,0.0,0.0,0.0,0.26221418,-0.18921779,-0.451432
31,4612,1.0,1.0,0.0,1.0,1.0,0.0,0.0045072027,0.0045072027,79.0,91.0,12.0,0.0,0.0,0.0,0.21349292,0.35385922,0.1403663
32,4667,26.0,31.0,5.0,113.0,331.0,218.0,0.005237261,0.005237261,193.0,138.0,-55.0,0.0,0.0,0.0,0.16048557,0.15143438,-0.009051189
33,4690,4.0,1.0,-3.0,1.0,1.0,0.0,0.012529377,0.012529377,123.0,87.0,-36.0,0.2,0.2,0.0,0.4542279,0.43327576,-0.020952135
34,4768,18.0,23.0,5.0,8.0,6.0,-2.0,0.0032446384,0.0032446384,273.0,477.0,204.0,0.0,0.0,0.0,0.17651907,0.18474817,0.008229107
35,4786,1.0,1.0,0.0,1.0,1.0,0.0,0.0074793734,0.0074793734,201.0,93.0,-108.0,0.2,0.2,0.0,0.48162606,0.47854406,-0.0030820072
36,4835,6.0,5.0,-1.0,2.0,4.0,2.0,0.007840078,0.007840078,23.0,69.0,46.0,0.0,0.0,0.0,0.5859867,0.53105754,-0.054929137
37,4869,2.0,6.0,4.0,1.0,1.0,0.0,-0.000550285,-0.000550285,78.0,44.0,-34.0,0.0,0.0,0.0,0.3939855,0.29465494,-0.099330574
38,4892,17.0,16.0,-1.0,1.0,1.0,0.0,0.009738054,0.009738054,46.0,19.0,-27.0,0.0,0.0,0.0,0.10900692,0.15597236,0.046965443
39,4930,1.0,1.0,0.0,1.0,1.0,0.0,-0.0038443655,-0.0038443655,154.0,86.0,-68.0,0.2,0.2,0.0,-0.07118759,0.14175175,0.21293935
40,5034,1.0,1.0,0.0,1.0,1.0,0.0,0.0068693645,0.0068693645,489.0,457.0,-32.0,0.0,0.0,0.0,0.27630827,0.56579,0.28948173
41,5106,6.0,4.0,-2.0,6.0,2.0,-4.0,0.010065578,0.010065578,750.0,765.0,15.0,0.2,0.2,0.0,-0.24438156,0.35169533,0.5960769
42,5204,73.0,123.0,50.0,3.0,3.0,0.0,0.0057648234,0.0057648234,392.0,153.0,-239.0,0.0,0.0,0.0,0.6446393,0.61331457,-0.031324744
43,5285,1.0,2.0,1.0,1.0,1.0,0.0,0.00052111596,0.00052111596,27.0,7.0,-20.0,0.0,0.0,0.0,0.19093893,0.13523713,-0.055701807
44,5301,1.0,1.0,0.0,1.0,1.0,0.0,0.0022555739,0.0022555739,192.0,241.0,49.0,0.0,0.0,0.0,0.25947115,-0.17159437,-0.4310655
45,5338,13.0,23.0,10.0,1.0,1.0,0.0,0.004839327,0.004839327,1.0,1.0,0.0,0.6,0.4,-0.20000002,0.46694136,0.44198638,-0.024954975
46,5427,120.0,35.0,-85.0,20.0,7.0,-13.0,0.0166343,0.0166343,38.0,15.0,-23.0,0.2,0.2,0.0,0.22906825,0.15079394,-0.07827431
47,5459,1.0,1.0,0.0,6.0,5.0,-1.0,0.010457173,0.010457173,610.0,525.0,-85.0,0.0,0.0,0.0,0.29126775,0.31198335,0.020715594
48,5502,384.0,364.0,-20.0,111.0,109.0,-2.0,0.010742029,0.010742029,621.0,392.0,-229.0,0.0,0.0,0.0,-0.008849273,0.4358579,0.44470716
49,5542,1.0,1.0,0.0,2.0,2.0,0.0,0.0014307275,0.0014307275,57.0,70.0,13.0,0.0,0.0,0.0,0.53898215,0.5462431,0.0072609186
50,5574,2.0,2.0,0.0,3.0,3.0,0.0,0.006883148,0.006883148,30.0,18.0,-12.0,0.0,0.0,0.0,-0.011164548,0.1854982,0.19666274
51,5583,1.0,1.0,0.0,1.0,1.0,0.0,0.00958471,0.00958471,5.0,4.0,-1.0,0.2,0.2,0.0,0.0971195,-0.036347616,-0.13346712
52,5602,2.0,2.0,0.0,1.0,1.0,0.0,0.0046130344,0.0046130344,220.0,235.0,15.0,0.0,0.0,0.0,0.41489226,0.32850388,-0.08638838
53,5714,1.0,1.0,0.0,1.0,1.0,0.0,0.006275911,0.006275911,62.0,28.0,-34.0,0.0,0.0,0.0,0.3744215,0.40759778,0.033176273
54,5878,1.0,1.0,0.0,1.0,1.0,0.0,-0.000407964,-0.000407964,352.0,138.0,-214.0,0.0,0.0,0.0,0.18673852,0.036806554,-0.14993197
55,5890,496.0,559.0,63.0,48.0,70.0,22.0,0.0035655405,0.0035655405,401.0,318.0,-83.0,0.0,0.0,0.0,0.36352885,0.32452914,-0.038999707
56,6132,6.0,11.0,5.0,1.0,1.0,0.0,0.0073244087,0.0073244087,372.0,367.0,-5.0,0.0,0.0,0.0,0.15991916,0.27295852,0.11303936
57,6199,1.0,5.0,4.0,2.0,8.0,6.0,-0.00048593432,-0.00048593432,11.0,9.0,-2.0,0.0,0.0,0.0,0.6025721,0.75079525,0.14822316
58,6222,2.0,2.0,0.0,2.0,2.0,0.0,0.0038412139,0.0038412139,352.0,554.0,202.0,0.4,0.4,0.0,-0.2862282,-0.26286045,0.023367763
59,6431,1.0,1.0,0.0,1.0,1.0,0.0,0.010727383,0.010727383,192.0,118.0,-74.0,0.0,0.0,0.0,0.12002351,0.10709743,-0.012926079
60,6444,3.0,5.0,2.0,1.0,1.0,0.0,0.0098038465,0.0098038465,51.0,8.0,-43.0,0.0,0.0,0.0,0.53319514,0.5667268,0.033531666
61,6489,7.0,5.0,-2.0,2.0,2.0,0.0,0.009097207,0.009097207,35.0,35.0,0.0,0.0,0.0,0.0,0.51825607,0.33706817,-0.1811879
62,6514,28.0,37.0,9.0,1.0,1.0,0.0,0.007922407,0.007922407,69.0,23.0,-46.0,0.2,0.2,0.0,0.14207809,0.330744,0.18866591
63,6521,1.0,2.0,1.0,1.0,1.0,0.0,0.0017914698,0.0017914698,5.0,6.0,1.0,0.4,0.4,0.0,0.42117012,0.4331461,0.011975974
64,6524,25.0,16.0,-9.0,21.0,16.0,-5.0,0.009458028,0.009458028,5.0,8.0,3.0,0.4,0.2,-0.2,0.14960451,0.10330801,-0.046296507
65,6558,2.0,4.0,2.0,2.0,2.0,0.0,0.0017550737,0.0017550737,597.0,712.0,115.0,0.0,0.0,0.0,0.054401062,0.21625236,0.16185129
66,6640,23.0,61.0,38.0,1.0,1.0,0.0,0.0016406812,0.0016406812,28.0,18.0,-10.0,0.2,0.2,0.0,0.06275097,0.13519964,0.07244866
67,6713,1.0,1.0,0.0,1.0,1.0,0.0,-0.0015550889,-0.0015550889,128.0,97.0,-31.0,0.0,0.0,0.0,0.29033178,0.38961658,0.0992848
68,6801,12.0,3.0,-9.0,1.0,1.0,0.0,0.01305097,0.01305097,763.0,658.0,-105.0,0.0,0.0,0.0,0.15384139,0.43469134,0.28084993
69,7007,25.0,13.0,-12.0,1.0,1.0,0.0,0.010020547,0.010020547,131.0,78.0,-53.0,0.0,0.0,0.0,0.31953055,0.44379258,0.124262035
70,7039,1.0,1.0,0.0,1.0,1.0,0.0,0.0025442988,0.0025442988,749.0,523.0,-226.0,0.0,0.0,0.0,0.4996321,0.5295188,0.029886693
71,7120,2.0,1.0,-1.0,1.0,1.0,0.0,0.0058891103,0.0058891103,291.0,270.0,-21.0,0.0,0.0,0.0,0.084144324,0.110017836,0.025873512
72,7207,1.0,1.0,0.0,1.0,1.0,0.0,0.0042579025,0.0042579025,38.0,21.0,-17.0,0.0,0.0,0.0,0.116736546,0.15955754,0.04282099
73,7336,3.0,3.0,0.0,2.0,2.0,0.0,0.00574404,0.00574404,195.0,172.0,-23.0,0.2,0.0,-0.2,-0.048819125,0.1043716,0.15319073
74,7366,2.0,1.0,-1.0,1.0,1.0,0.0,0.015150022,0.015150022,49.0,87.0,38.0,0.0,0.0,0.0,0.5593806,0.47016352,-0.08921707
75,7409,1.0,1.0,0.0,1.0,1.0,0.0,-0.0019898303,-0.0019898303,90.0,113.0,23.0,0.0,0.0,0.0,0.07198387,0.17327237,0.101288505
76,7418,1.0,1.0,0.0,1.0,1.0,0.0,0.0024078079,0.0024078079,93.0,103.0,10.0,0.0,0.0,0.0,-0.08053495,0.046687394,0.12722234
77,7480,3.0,28.0,25.0,2.0,1.0,-1.0,-0.00044071302,-0.00044071302,275.0,254.0,-21.0,0.2,0.2,0.0,-0.27842802,-0.47970697,-0.20127895
78,7654,4.0,6.0,2.0,1.0,2.0,1.0,0.0037075765,0.0037075765,227.0,133.0,-94.0,0.0,0.0,0.0,0.12992026,0.14894208,0.019021824
79,7659,1.0,1.0,0.0,1.0,2.0,1.0,0.009921931,0.009921931,274.0,232.0,-42.0,0.0,0.0,0.0,0.65751547,0.5627987,-0.09471679
80,7840,5.0,24.0,19.0,1.0,1.0,0.0,0.00026028976,0.00026028976,220.0,174.0,-46.0,0.0,0.0,0.0,0.46183524,0.37763187,-0.08420336
81,7859,1.0,15.0,14.0,1.0,2.0,1.0,-0.004428014,-0.004428014,416.0,400.0,-16.0,0.0,0.0,0.0,0.12877505,0.13763984,0.00886479
82,7944,1.0,1.0,0.0,2.0,2.0,0.0,0.0025728792,0.0025728792,105.0,198.0,93.0,0.0,0.0,0.0,-0.24645574,-0.21979575,0.026659995
83,7948,1.0,1.0,0.0,1.0,1.0,0.0,0.013521217,0.013521217,999.0,998.0,-1.0,0.0,0.0,0.0,0.2674253,0.2837627,0.016337395
84,7954,39.0,82.0,43.0,35.0,20.0,-15.0,0.0057684034,0.0057684034,10.0,14.0,4.0,0.0,0.0,0.0,-0.13065813,0.056975808,0.18763395
85,8006,1.0,1.0,0.0,1.0,1.0,0.0,0.0054857954,0.0054857954,3.0,4.0,1.0,0.2,0.2,0.0,-0.16036867,0.009250668,0.16961934
86,8109,3.0,2.0,-1.0,1.0,1.0,0.0,0.011313945,0.011313945,229.0,200.0,-29.0,0.2,0.0,-0.2,0.19130531,0.21427266,0.022967353
87,8204,1.0,1.0,0.0,1.0,2.0,1.0,0.014161941,0.014161941,240.0,92.0,-148.0,0.0,0.0,0.0,-0.2075124,-0.50992185,-0.30240947
88,8225,1.0,1.0,0.0,1.0,1.0,0.0,0.0012435466,0.0012435466,519.0,351.0,-168.0,0.0,0.0,0.0,-0.009093227,0.25915787,0.2682511
89,8262,455.0,377.0,-78.0,147.0,59.0,-88.0,0.011157315,0.011157315,452.0,426.0,-26.0,0.0,0.0,0.0,-0.16898437,-0.19629294,-0.027308568
90,8274,3.0,2.0,-1.0,1.0,1.0,0.0,0.007125195,0.007125195,476.0,398.0,-78.0,0.0,0.0,0.0,0.5538502,0.60004014,0.046189964
91,8318,19.0,36.0,17.0,1.0,3.0,2.0,0.0042719916,0.0042719916,224.0,110.0,-114.0,0.0,0.0,0.0,0.40425307,0.43139592,0.027142853
92,8387,6.0,1.0,-5.0,14.0,2.0,-12.0,0.013638619,0.013638619,470.0,345.0,-125.0,0.0,0.0,0.0,0.06185986,0.097525366,0.035665505
93,8394,1.0,1.0,0.0,1.0,1.0,0.0,0.00044991449,0.00044991449,309.0,560.0,251.0,0.0,0.0,0.0,0.2820056,0.03781105,-0.24419457
94,8415,2.0,2.0,0.0,2.0,2.0,0.0,0.0045359842,0.0045359842,10.0,10.0,0.0,0.0,0.2,0.2,0.5765216,-0.14247063,-0.71899223
95,8435,3.0,9.0,6.0,1.0,2.0,1.0,0.004527658,0.004527658,29.0,10.0,-19.0,0.0,0.0,0.0,0.29523504,0.117715925,-0.17751911
96,8465,7.0,7.0,0.0,2.0,4.0,2.0,0.0027556606,0.0027556606,10.0,6.0,-4.0,0.2,0.2,0.0,0.2726448,0.1626868,-0.10995799
97,8509,5.0,1.0,-4.0,10.0,5.0,-5.0,0.01560289,0.01560289,141.0,81.0,-60.0,0.0,0.0,0.0,0.08772632,0.3083014,0.22057506
98,8631,6.0,14.0,8.0,1.0,1.0,0.0,-0.0003870614,-0.0003870614,422.0,537.0,115.0,0.0,0.0,0.0,0.08610296,-0.010633597,-0.09673656
99,8646,25.0,20.0,-5.0,3.0,3.0,0.0,0.0081573725,0.0081573725,490.0,362.0,-128.0,0.2,0.2,0.0,0.1745391,0.16215913,-0.012379974
100,8807,1.0,1.0,0.0,1.0,1.0,0.0,0.01008223,0.01008223,53.0,76.0,23.0,0.2,0.0,-0.2,-0.11773904,0.16456789,0.2823069
101,8843,4.0,6.0,2.0,6.0,4.0,-2.0,0.0077653453,0.0077653453,532.0,585.0,53.0,0.0,0.0,0.0,-0.038079917,-0.017938787,0.02014113
102,8925,32.0,5.0,-27.0,9.0,5.0,-4.0,0.0151492655,0.0151492655,417.0,329.0,-88.0,0.0,0.0,0.0,0.24472651,0.2984246,0.053698093
103,8933,1.0,7.0,6.0,4.0,4.0,0.0,0.006366767,0.006366767,4.0,5.0,1.0,0.2,0.2,0.0,0.22346655,0.16557392,-0.05789262
104,9027,2.0,1.0,-1.0,1.0,1.0,0.0,0.0014757141,0.0014757141,76.0,48.0,-28.0,0.0,0.0,0.0,-0.23586312,0.17511845,0.41098157
105,9048,1.0,1.0,0.0,1.0,1.0,0.0,-0.003912613,-0.003912613,6.0,7.0,1.0,0.2,0.2,0.0,0.57185864,0.590766,0.018907368
106,9147,1.0,1.0,0.0,1.0,1.0,0.0,0.00889907,0.00889907,798.0,860.0,62.0,0.0,0.0,0.0,-0.21230973,-0.30674392,-0.09443419
107,9230,1.0,1.0,0.0,1.0,1.0,0.0,0.003361404,0.003361404,63.0,61.0,-2.0,0.2,0.2,0.0,0.7991009,0.67938614,-0.11971474
108,9434,1.0,1.0,0.0,1.0,1.0,0.0,0.0042534545,0.0042534545,550.0,498.0,-52.0,0.0,0.2,0.2,0.31065238,0.29848787,-0.012164503
109,9462,114.0,113.0,-1.0,113.0,64.0,-49.0,0.007484978,0.007484978,252.0,130.0,-122.0,0.0,0.0,0.0,-0.1816194,-0.13882117,0.042798236
110,9680,17.0,21.0,4.0,1.0,6.0,5.0,0.002250336,0.002250336,79.0,30.0,-49.0,0.0,0.0,0.0,-0.022578087,-0.15585604,-0.13327795
111,9722,1.0,1.0,0.0,4.0,6.0,2.0,0.0028262846,0.0028262846,5.0,6.0,1.0,0.4,0.2,-0.2,0.29003406,0.32745218,0.037418127
112,9804,12.0,14.0,2.0,7.0,6.0,-1.0,0.005451001,0.005451001,40.0,41.0,1.0,0.2,0.2,0.0,-0.1478228,0.13775177,0.28557456
113,9847,1.0,1.0,0.0,1.0,1.0,0.0,0.016257927,0.016257927,18.0,10.0,-8.0,0.2,0.2,0.0,0.12643936,0.3668495,0.24041015
114,9865,34.0,47.0,13.0,3.0,2.0,-1.0,0.008801576,0.008801576,192.0,260.0,68.0,0.0,0.0,0.0,0.23652594,0.18438469,-0.05214125
115,9917,1.0,2.0,1.0,1.0,1.0,0.0,0.0026276968,0.0026276968,38.0,26.0,-12.0,0.6,0.6,0.0,0.5993174,0.5992189,-9.846687e-05
116,9978,376.0,184.0,-192.0,60.0,44.0,-16.0,0.014852088,0.014852088,216.0,309.0,93.0,0.0,0.0,0.0,0.05529787,0.1536251,0.098327234
117,10006,8.0,39.0,31.0,2.0,2.0,0.0,0.0012585782,0.0012585782,22.0,35.0,13.0,0.4,0.2,-0.2,0.31928006,0.35779992,0.03851986
118,10046,1.0,1.0,0.0,1.0,1.0,0.0,-0.0008113906,-0.0008113906,83.0,51.0,-32.0,0.0,0.0,0.0,-0.2118058,-0.17968574,0.032120064
119,10064,1.0,1.0,0.0,1.0,1.0,0.0,0.0063695423,0.0063695423,1.0,1.0,0.0,0.4,0.4,0.0,0.39505848,0.2816689,-0.11338958
120,10105,6.0,12.0,6.0,5.0,3.0,-2.0,0.0029345788,0.0029345788,5.0,2.0,-3.0,0.2,0.2,0.0,0.64868456,0.60267943,-0.04600513
121,10107,36.0,18.0,-18.0,4.0,1.0,-3.0,0.012372792,0.012372792,77.0,13.0,-64.0,0.0,0.0,0.0,0.35602838,0.23349933,-0.122529045
122,10244,1.0,1.0,0.0,1.0,1.0,0.0,0.008250359,0.008250359,6.0,6.0,0.0,0.0,0.0,0.0,0.26148444,0.24279515,-0.01868929
123,10393,21.0,16.0,-5.0,20.0,19.0,-1.0,0.007764831,0.007764831,3.0,5.0,2.0,0.6,0.6,0.0,0.049494628,0.091427185,0.041932557
124,10471,1.0,1.0,0.0,1.0,1.0,0.0,0.010334972,0.010334972,527.0,571.0,44.0,0.0,0.0,0.0,0.0472935,-0.008334413,-0.055627912
125,10507,1.0,1.0,0.0,1.0,1.0,0.0,0.0011258982,0.0011258982,15.0,16.0,1.0,0.0,0.0,0.0,0.099472165,0.045952123,-0.053520042
126,10586,124.0,239.0,115.0,25.0,18.0,-7.0,0.005234601,0.005234601,5.0,22.0,17.0,0.2,0.0,-0.2,0.4245242,0.3516874,-0.07283679
127,10600,76.0,243.0,167.0,42.0,18.0,-24.0,0.0023743752,0.0023743752,41.0,39.0,-2.0,0.0,0.0,0.0,0.36570618,0.4183147,0.05260852
128,10610,4.0,1.0,-3.0,1.0,1.0,0.0,0.0129892975,0.0129892975,259.0,108.0,-151.0,0.0,0.0,0.0,0.083443716,0.011097934,-0.07234578
129,10907,1.0,1.0,0.0,1.0,1.0,0.0,0.005544696,0.005544696,33.0,21.0,-12.0,0.0,0.2,0.2,0.46644992,0.5256246,0.059174657
130,11159,2.0,2.0,0.0,1.0,1.0,0.0,0.0015923195,0.0015923195,15.0,18.0,3.0,0.0,0.0,0.0,0.057209913,0.09464825,0.037438337
131,11333,12.0,28.0,16.0,1.0,1.0,0.0,0.0034934804,0.0034934804,731.0,569.0,-162.0,0.0,0.0,0.0,-0.031968582,-0.06923852,-0.03726994
132,11487,1.0,1.0,0.0,4.0,5.0,1.0,0.007499423,0.007499423,300.0,234.0,-66.0,0.0,0.0,0.0,-0.054375548,0.019515885,0.07389143
133,11521,15.0,11.0,-4.0,2.0,2.0,0.0,0.0061218888,0.0061218888,40.0,73.0,33.0,0.2,0.2,0.0,0.046935875,0.26191905,0.21498318
134,11566,1.0,1.0,0.0,7.0,5.0,-2.0,0.008319885,0.008319885,555.0,536.0,-19.0,0.0,0.0,0.0,0.45543358,0.53879637,0.08336279
135,11617,6.0,12.0,6.0,3.0,2.0,-1.0,0.005778957,0.005778957,5.0,10.0,5.0,0.2,0.0,-0.2,-0.09210635,-0.10756664,-0.01546029
136,11635,1.0,2.0,1.0,1.0,2.0,1.0,0.0025748424,0.0025748424,437.0,455.0,18.0,0.0,0.0,0.0,0.53924775,0.5358616,-0.0033861399
137,11689,1.0,1.0,0.0,1.0,1.0,0.0,0.00914989,0.00914989,35.0,104.0,69.0,0.0,0.0,0.0,0.098286904,0.23681037,0.13852346
138,11725,5.0,4.0,-1.0,3.0,2.0,-1.0,0.01190234,0.01190234,291.0,285.0,-6.0,0.0,0.0,0.0,0.21730979,0.17923442,-0.038075373
139,11796,1.0,1.0,0.0,1.0,1.0,0.0,0.0017738417,0.0017738417,730.0,650.0,-80.0,0.0,0.0,0.0,0.013767262,0.054187395,0.040420134
140,11827,341.0,66.0,-275.0,43.0,37.0,-6.0,0.017634427,0.017634427,104.0,102.0,-2.0,0.0,0.0,0.0,-0.11205367,0.023055714,0.13510938
141,11837,1.0,1.0,0.0,1.0,3.0,2.0,0.007322781,0.007322781,187.0,37.0,-150.0,0.0,0.0,0.0,0.32439524,0.2138794,-0.11051583
142,11844,1.0,1.0,0.0,1.0,1.0,0.0,0.00019454584,0.00019454584,575.0,365.0,-210.0,0.0,0.0,0.0,0.45325238,0.352517,-0.10073537
143,11932,2.0,3.0,1.0,2.0,2.0,0.0,0.006238457,0.006238457,42.0,30.0,-12.0,0.2,0.2,0.0,0.09788051,0.109104365,0.011223853
144,11942,2.0,2.0,0.0,1.0,1.0,0.0,0.0013957731,0.0013957731,66.0,75.0,9.0,0.0,0.0,0.0,-0.04911354,-0.03056959,0.018543951
145,11952,2.0,1.0,-1.0,2.0,2.0,0.0,0.0023754574,0.0023754574,225.0,64.0,-161.0,0.0,0.0,0.0,-0.013855591,-0.2801827,-0.26632708
146,12065,7.0,37.0,30.0,40.0,69.0,29.0,0.001068715,0.001068715,38.0,25.0,-13.0,0.0,0.0,0.0,-0.2997308,-0.26968658,0.030044228
147,12075,2.0,1.0,-1.0,1.0,1.0,0.0,0.008551985,0.008551985,267.0,331.0,64.0,0.0,0.0,0.0,0.1916972,-0.06773134,-0.25942853
148,12214,1.0,1.0,0.0,1.0,1.0,0.0,0.0047882833,0.0047882833,59.0,21.0,-38.0,0.0,0.0,0.0,0.30998564,0.25355616,-0.056429476
149,12308,1.0,1.0,0.0,1.0,1.0,0.0,-0.003954798,-0.003954798,7.0,6.0,-1.0,0.0,0.0,0.0,0.07090959,-0.05817228,-0.12908188
150,12487,2.0,1.0,-1.0,1.0,1.0,0.0,0.008151863,0.008151863,4.0,5.0,1.0,0.4,0.6,0.20000002,0.16306572,0.12112793,-0.041937783
151,12495,37.0,134.0,97.0,48.0,54.0,6.0,0.0006025955,0.0006025955,24.0,19.0,-5.0,0.0,0.0,0.0,0.18179788,0.18669233,0.0048944503
152,12634,4.0,7.0,3.0,1.0,1.0,0.0,0.00789253,0.00789253,10.0,11.0,1.0,0.0,0.0,0.0,0.45108494,-0.47243202,-0.923517
153,12685,1.0,1.0,0.0,1.0,1.0,0.0,-0.0039923266,-0.0039923266,14.0,16.0,2.0,0.0,0.0,0.0,0.1446366,0.0996666,-0.04497
154,12796,1.0,1.0,0.0,1.0,1.0,0.0,0.006435331,0.006435331,166.0,76.0,-90.0,0.0,0.0,0.0,-0.18811956,-0.08320207,0.10491749
